Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.0136848,0.013441,0.0139286,0.393033,0.411798,11.3129,0
0.411798,0.0244029,0.0239547,0.0248511,0.431458,0.452057,11.1783,0.0136848
0.452057,0.0362313,0.0356126,0.03685,0.473639,0.496252,11.0437,0.0380877
0.496252,0.0522483,0.0513482,0.0531484,0.519944,0.544768,10.9091,0.074319
0.544768,0.0662886,0.0651586,0.0674186,0.570777,0.598027,10.7746,0.126567
0.598027,0.0795925,0.0783908,0.0807943,0.626578,0.656493,10.64,0.192856
0.656493,0.0927614,0.0912767,0.0942461,0.687836,0.720675,10.5054,0.272448
0.720675,0.106664,0.105068,0.10826,0.755082,0.791132,10.3709,0.36521
0.791132,0.120108,0.11841,0.121806,0.828903,0.868477,10.2363,0.471874
0.868477,0.133273,0.131435,0.135111,0.90994,0.953383,10.1017,0.591982
0.953383,0.146578,0.144493,0.148663,0.9989,1.04659,9.96714,0.725255
1.04659,0.160555,0.158239,0.162871,1.09656,1.14891,9.83257,0.871833
1.14891,0.175549,0.172725,0.178373,1.20376,1.26123,9.698,1.03239
1.26123,0.191497,0.188125,0.194869,1.32145,1.38454,9.56343,1.20794
1.38454,0.208744,0.204684,0.212804,1.45064,1.5199,9.42885,1.39943
1.5199,0.227513,0.222621,0.232405,1.59246,1.66849,9.29428,1.60818
1.66849,0.248499,0.242888,0.25411,1.74815,1.83161,9.15971,1.83569
1.83161,0.271765,0.265383,0.278147,1.91906,2.01068,9.02514,2.08419
2.01068,0.297424,0.290037,0.304811,2.10667,2.20725,8.89056,2.35595
2.20725,0.325386,0.31708,0.333692,2.31263,2.42304,8.75599,2.65338
2.42304,0.355752,0.346732,0.364772,2.53872,2.65993,8.62142,2.97876
2.65993,0.38861,0.378336,0.398884,2.78692,2.91998,8.48684,3.33452
2.91998,0.423873,0.412724,0.435022,3.05939,3.20545,8.35227,3.72313
3.20545,0.46145,0.449141,0.473759,3.35849,3.51883,8.2177,4.147
3.51883,0.500902,0.48722,0.514584,3.68682,3.86284,8.08313,4.60845
3.86284,0.542096,0.527769,0.556423,4.04726,4.24049,7.94855,5.10935
4.24049,0.584809,0.569864,0.599754,4.44294,4.65506,7.81398,5.65145
4.65506,0.629124,0.612299,0.645949,4.87731,5.11017,7.6794,6.23626
5.11017,0.674906,0.656849,0.692963,5.35414,5.60976,7.54483,6.86538
5.60976,0.722131,0.702903,0.741359,5.87759,6.1582,7.41025,7.54029
6.1582,0.771059,0.75059,0.791528,6.45221,6.76025,7.27568,8.26242
6.76025,0.822237,0.800307,0.844167,7.08301,7.42117,7.14111,9.03347
7.42117,0.876907,0.85349,0.900324,7.77547,8.14669,7.00653,9.85571
8.14669,0.935973,0.910607,0.961339,8.53563,8.94315,6.87196,10.7326
8.94315,1.00079,0.973663,1.02792,9.37012,9.81748,6.73738,11.6686
9.81748,1.07198,1.04277,1.10119,10.2862,10.7773,6.6028,12.6694
10.7773,1.15083,1.11909,1.18257,11.2918,11.8309,6.46823,13.7414
11.8309,1.23706,1.20176,1.27236,12.3958,12.9876,6.33365,14.8922
12.9876,1.32867,1.29025,1.36709,13.6076,14.2573,6.19907,16.1292
14.2573,1.42024,1.37863,1.46185,14.938,15.6512,6.0645,17.4579
15.6512,1.50426,1.45832,1.5502,16.3984,17.1813,5.92992,18.8782
17.1813,1.57505,1.52561,1.62449,18.0016,18.861,5.79534,20.3824
18.861,1.63086,1.57876,1.68296,19.7615,20.705,5.66076,21.9575
20.705,1.67675,1.62286,1.73064,21.6935,22.7292,5.52618,23.5883
22.7292,1.72033,1.66604,1.77462,23.8143,24.9513,5.39161,25.2651
24.9513,1.76882,1.71641,1.82123,26.1425,27.3906,5.25703,26.9854
27.3906,1.82485,1.7758,1.8739,28.6983,30.0685,5.12245,28.7542
30.0685,1.88568,1.84108,1.93028,31.504,33.0081,4.98787,30.5791
33.0081,1.94655,1.90255,1.99055,34.584,36.2352,4.85328,32.4648
36.2352,2.00323,1.95613,2.05033,37.9652,39.7777,4.7187,34.4113
39.7777,2.056,2.00636,2.10564,41.6768,43.6665,4.58412,36.4145
43.6665,2.10883,2.05111,2.16655,45.7513,47.9356,4.44954,38.4705
47.9356,2.1668,2.10215,2.23145,50.2242,52.622,4.31495,40.5794
52.622,2.2328,2.1627,2.3029,55.1343,57.7666,4.18036,42.7462
57.7666,2.30469,2.23459,2.37479,60.5245,63.4141,4.04578,44.979
63.4141,2.37671,2.31041,2.44301,66.4417,69.6138,3.91119,47.2837
69.6138,2.44249,2.38117,2.50381,72.9374,76.4196,3.7766,49.6604
76.4196,2.49938,2.44022,2.55854,80.0681,83.8907,3.64201,52.1029
83.8907,2.54996,2.49144,2.60848,87.8959,92.0923,3.50742,54.6022
92.0923,2.59871,2.53437,2.66305,96.4892,101.096,3.37282,57.1522
101.096,2.6469,2.5775,2.7163,105.922,110.979,3.23822,59.7509
110.979,2.68935,2.61469,2.76401,116.278,121.829,3.10363,62.3978
121.829,2.71821,2.64407,2.79235,127.646,133.74,2.96902,65.0872
133.74,2.7281,2.66227,2.79393,140.125,146.815,2.83441,67.8054
146.815,2.72009,2.66034,2.77984,153.824,161.168,2.69981,70.5335
161.168,2.69497,2.63652,2.75342,168.863,176.925,2.56519,73.2535
176.925,2.64621,2.58516,2.70726,185.372,194.222,2.43057,75.9485
194.222,2.55603,2.49384,2.61822,203.495,213.21,2.29595,78.5947
213.21,2.40512,2.33379,2.47645,223.389,234.054,2.16132,81.1508
234.054,2.19146,2.09709,2.28583,245.228,256.936,2.02669,83.5559
256.936,1.94205,1.82133,2.06277,269.203,282.056,1.89204,85.7473
282.056,1.70821,1.56489,1.85153,295.522,309.631,1.75737,87.6894
309.631,1.53923,1.38103,1.69743,324.414,339.902,1.6227,89.3976
339.902,1.45731,1.28955,1.62507,356.13,373.132,1.48801,90.9368
373.132,1.44557,1.27074,1.6204,390.946,409.611,1.35329,92.3941
