Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.00556731,0.00540046,0.00573416,0.393033,0.411798,11.3129,0
0.411798,0.0099408,0.00964589,0.0102357,0.431458,0.452057,11.1783,0.00556731
0.452057,0.0147715,0.0143371,0.0152059,0.473639,0.496252,11.0437,0.0155081
0.496252,0.0212831,0.0206523,0.0219139,0.519944,0.544768,10.9091,0.0302796
0.544768,0.0269253,0.0261376,0.027713,0.570777,0.598027,10.7746,0.0515627
0.598027,0.0322411,0.0313267,0.0331555,0.626578,0.656493,10.64,0.078488
0.656493,0.0374667,0.0364211,0.0385123,0.687836,0.720675,10.5054,0.110729
0.720675,0.0429334,0.0417364,0.0441304,0.755082,0.791132,10.3709,0.148196
0.791132,0.0480876,0.0468394,0.0493358,0.828903,0.868477,10.2363,0.191129
0.868477,0.0530286,0.0517009,0.0543563,0.90994,0.953383,10.1017,0.239217
0.953383,0.0579212,0.0565377,0.0593047,0.9989,1.04659,9.96714,0.292245
1.04659,0.0629532,0.061587,0.0643193,1.09656,1.14891,9.83257,0.350167
1.14891,0.0682015,0.0667883,0.0696147,1.20376,1.26123,9.698,0.41312
1.26123,0.0736414,0.0721846,0.0750982,1.32145,1.38454,9.56343,0.481321
1.38454,0.0794292,0.0780554,0.080803,1.45064,1.5199,9.42885,0.554963
1.5199,0.0856618,0.0842227,0.0871009,1.59246,1.66849,9.29428,0.634392
1.66849,0.0925855,0.0911823,0.0939887,1.74815,1.83161,9.15971,0.720054
1.83161,0.100188,0.0986432,0.101733,1.91906,2.01068,9.02514,0.812639
2.01068,0.1085,0.106806,0.110194,2.10667,2.20725,8.89056,0.912827
2.20725,0.117495,0.11554,0.11945,2.31263,2.42304,8.75599,1.02133
2.42304,0.127189,0.124858,0.12952,2.53872,2.65993,8.62142,1.13882
2.65993,0.137547,0.134874,0.14022,2.78692,2.91998,8.48684,1.26601
2.91998,0.148442,0.145338,0.151546,3.05939,3.20545,8.35227,1.40356
3.20545,0.159796,0.15618,0.163412,3.35849,3.51883,8.2177,1.552
3.51883,0.171421,0.167357,0.175485,3.68682,3.86284,8.08313,1.7118
3.86284,0.183233,0.178679,0.187787,4.04726,4.24049,7.94855,1.88322
4.24049,0.195075,0.190007,0.200143,4.44294,4.65506,7.81398,2.06645
4.65506,0.206902,0.201485,0.212319,4.87731,5.11017,7.6794,2.26153
5.11017,0.218642,0.212731,0.224553,5.35414,5.60976,7.54483,2.46843
5.60976,0.230263,0.224047,0.236479,5.87759,6.1582,7.41025,2.68707
6.1582,0.241845,0.235365,0.248325,6.45221,6.76025,7.27568,2.91733
6.76025,0.253422,0.246809,0.260035,7.08301,7.42117,7.14111,3.15918
7.42117,0.265341,0.258413,0.272269,7.77547,8.14669,7.00653,3.4126
8.14669,0.277762,0.270859,0.284665,8.53563,8.94315,6.87196,3.67794
8.94315,0.291199,0.28415,0.298248,9.37012,9.81748,6.73738,3.9557
9.81748,0.305824,0.298661,0.312987,10.2862,10.7773,6.6028,4.2469
10.7773,0.322335,0.315251,0.329419,11.2918,11.8309,6.46823,4.55273
11.8309,0.341145,0.334383,0.347907,12.3958,12.9876,6.33365,4.87506
12.9876,0.362719,0.355852,0.369586,13.6076,14.2573,6.19907,5.21621
14.2573,0.386904,0.379359,0.394449,14.938,15.6512,6.0645,5.57893
15.6512,0.412978,0.404878,0.421078,16.3984,17.1813,5.92992,5.96583
17.1813,0.440524,0.432215,0.448833,18.0016,18.861,5.79534,6.37881
18.861,0.469286,0.461161,0.477411,19.7615,20.705,5.66076,6.81933
20.705,0.500489,0.491851,0.509127,21.6935,22.7292,5.52618,7.28862
22.7292,0.535324,0.525551,0.545097,23.8143,24.9513,5.39161,7.78911
24.9513,0.574885,0.565302,0.584468,26.1425,27.3906,5.25703,8.32443
27.3906,0.618874,0.608153,0.629595,28.6983,30.0685,5.12245,8.89932
30.0685,0.665564,0.654955,0.676173,31.504,33.0081,4.98787,9.51819
33.0081,0.712972,0.702293,0.723651,34.584,36.2352,4.85328,10.1838
36.2352,0.759611,0.746356,0.772866,37.9652,39.7777,4.7187,10.8967
39.7777,0.806168,0.789678,0.822658,41.6768,43.6665,4.58412,11.6563
43.6665,0.855104,0.835364,0.874844,45.7513,47.9356,4.44954,12.4625
47.9356,0.909935,0.886524,0.933346,50.2242,52.622,4.31495,13.3176
52.622,0.974061,0.947548,1.00057,55.1343,57.7666,4.18036,14.2275
57.7666,1.04961,1.02002,1.0792,60.5245,63.4141,4.04578,15.2016
63.4141,1.13764,1.10499,1.17029,66.4417,69.6138,3.91119,16.2512
69.6138,1.23829,1.20077,1.27581,72.9374,76.4196,3.7766,17.3889
76.4196,1.35124,1.30671,1.39577,80.0681,83.8907,3.64201,18.6271
83.8907,1.47525,1.42171,1.52879,87.8959,92.0923,3.50742,19.9784
92.0923,1.60672,1.54265,1.67079,96.4892,101.096,3.37282,21.4536
101.096,1.73897,1.66454,1.8134,105.922,110.979,3.23822,23.0604
110.979,1.86274,1.77954,1.94594,116.278,121.829,3.10363,24.7993
121.829,1.97052,1.88229,2.05875,127.646,133.74,2.96902,26.6621
133.74,2.05968,1.96897,2.15039,140.125,146.815,2.83441,28.6326
146.815,2.13486,2.04634,2.22338,153.824,161.168,2.69981,30.6923
161.168,2.20282,2.11906,2.28658,168.863,176.925,2.56519,32.8271
176.925,2.26763,2.19064,2.34462,185.372,194.222,2.43057,35.0299
194.222,2.32573,2.25243,2.39903,203.495,213.21,2.29595,37.2976
213.21,2.36934,2.29542,2.44326,223.389,234.054,2.16132,39.6233
234.054,2.39511,2.31969,2.47053,245.228,256.936,2.02669,41.9927
256.936,2.41277,2.34245,2.48309,269.203,282.056,1.89204,44.3878
282.056,2.44735,2.39474,2.49996,295.522,309.631,1.75737,46.8005
309.631,2.52928,2.49251,2.56605,324.414,339.902,1.6227,49.2479
339.902,2.68033,2.63264,2.72802,356.13,373.132,1.48801,51.7772
