Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.0107764,0.0105551,0.0109977,0.393033,0.411798,11.3129,0
0.411798,0.0192159,0.0188382,0.0195936,0.431458,0.452057,11.1783,0.0107764
0.452057,0.0285101,0.0279229,0.0290973,0.473639,0.496252,11.0437,0.0299923
0.496252,0.0410649,0.0402435,0.0418863,0.519944,0.544768,10.9091,0.0585024
0.544768,0.0519915,0.0508053,0.0531777,0.570777,0.598027,10.7746,0.0995673
0.598027,0.0622557,0.0607752,0.0637362,0.626578,0.656493,10.64,0.151559
0.656493,0.0723184,0.070488,0.0741488,0.687836,0.720675,10.5054,0.213815
0.720675,0.0828628,0.0806854,0.0850402,0.755082,0.791132,10.3709,0.286133
0.791132,0.0929304,0.090263,0.0955978,0.828903,0.868477,10.2363,0.368996
0.868477,0.10264,0.0994788,0.105801,0.90994,0.953383,10.1017,0.461926
0.953383,0.112312,0.108607,0.116017,0.9989,1.04659,9.96714,0.564566
1.04659,0.122379,0.118,0.126758,1.09656,1.14891,9.83257,0.676878
1.14891,0.13314,0.128025,0.138255,1.20376,1.26123,9.698,0.799257
1.26123,0.144549,0.138676,0.150422,1.32145,1.38454,9.56343,0.932397
1.38454,0.156885,0.150223,0.163547,1.45064,1.5199,9.42885,1.07695
1.5199,0.170338,0.162874,0.177802,1.59246,1.66849,9.29428,1.23383
1.66849,0.185479,0.177113,0.193845,1.74815,1.83161,9.15971,1.40417
1.83161,0.20236,0.193207,0.211513,1.91906,2.01068,9.02514,1.58965
2.01068,0.221051,0.211069,0.231033,2.10667,2.20725,8.89056,1.79201
2.20725,0.241448,0.230671,0.252225,2.31263,2.42304,8.75599,2.01306
2.42304,0.263622,0.252023,0.275221,2.53872,2.65993,8.62142,2.25451
2.65993,0.287665,0.275327,0.300003,2.78692,2.91998,8.48684,2.51813
2.91998,0.313528,0.300417,0.326639,3.05939,3.20545,8.35227,2.80579
3.20545,0.341153,0.327356,0.35495,3.35849,3.51883,8.2177,3.11932
3.51883,0.370189,0.35569,0.384688,3.68682,3.86284,8.08313,3.46048
3.86284,0.400582,0.385288,0.415876,4.04726,4.24049,7.94855,3.83066
4.24049,0.43222,0.415749,0.448691,4.44294,4.65506,7.81398,4.23125
4.65506,0.465236,0.447826,0.482646,4.87731,5.11017,7.6794,4.66347
5.11017,0.499527,0.480642,0.518412,5.35414,5.60976,7.54483,5.1287
5.60976,0.535062,0.51503,0.555094,5.87759,6.1582,7.41025,5.62823
6.1582,0.572076,0.550451,0.593701,6.45221,6.76025,7.27568,6.16329
6.76025,0.611078,0.587165,0.634991,7.08301,7.42117,7.14111,6.73537
7.42117,0.653115,0.627466,0.678764,7.77547,8.14669,7.00653,7.34645
8.14669,0.698841,0.670982,0.7267,8.53563,8.94315,6.87196,7.99956
8.94315,0.749249,0.718811,0.779687,9.37012,9.81748,6.73738,8.6984
9.81748,0.804781,0.770797,0.838765,10.2862,10.7773,6.6028,9.44765
10.7773,0.866583,0.829434,0.903732,11.2918,11.8309,6.46823,10.2524
11.8309,0.934523,0.893573,0.975473,12.3958,12.9876,6.33365,11.119
12.9876,1.00691,0.961376,1.05244,13.6076,14.2573,6.19907,12.0535
14.2573,1.07907,1.02943,1.12871,14.938,15.6512,6.0645,13.0604
15.6512,1.14475,1.09081,1.19869,16.3984,17.1813,5.92992,14.1395
17.1813,1.19972,1.14269,1.25675,18.0016,18.861,5.79534,15.2843
18.861,1.24351,1.18548,1.30154,19.7615,20.705,5.66076,16.484
20.705,1.28128,1.22524,1.33732,21.6935,22.7292,5.52618,17.7275
22.7292,1.31936,1.267,1.37172,23.8143,24.9513,5.39161,19.0088
24.9513,1.36255,1.31433,1.41077,26.1425,27.3906,5.25703,20.3281
27.3906,1.41081,1.36333,1.45829,28.6983,30.0685,5.12245,21.6907
30.0685,1.45954,1.4078,1.51128,31.504,33.0081,4.98787,23.1015
33.0081,1.50317,1.44202,1.56432,34.584,36.2352,4.85328,24.561
36.2352,1.53762,1.46462,1.61062,37.9652,39.7777,4.7187,26.0642
39.7777,1.56326,1.48136,1.64516,41.6768,43.6665,4.58412,27.6018
43.6665,1.58395,1.50102,1.66688,45.7513,47.9356,4.44954,29.1651
47.9356,1.60515,1.53109,1.67921,50.2242,52.622,4.31495,30.749
52.622,1.63255,1.57425,1.69085,55.1343,57.7666,4.18036,32.3542
57.7666,1.6708,1.62985,1.71175,60.5245,63.4141,4.04578,33.9867
63.4141,1.72439,1.69484,1.75394,66.4417,69.6138,3.91119,35.6575
69.6138,1.79766,1.76598,1.82934,72.9374,76.4196,3.7766,37.3819
76.4196,1.89421,1.84802,1.9404,80.0681,83.8907,3.64201,39.1796
83.8907,2.01446,1.94883,2.08009,87.8959,92.0923,3.50742,41.0738
92.0923,2.15174,2.07137,2.23211,96.4892,101.096,3.37282,43.0883
101.096,2.29115,2.20698,2.37532,105.922,110.979,3.23822,45.24
110.979,2.41367,2.33897,2.48837,116.278,121.829,3.10363,47.5312
121.829,2.50755,2.44547,2.56963,127.646,133.74,2.96902,49.9448
133.74,2.57697,2.52643,2.62751,140.125,146.815,2.83441,52.4524
146.815,2.64214,2.59889,2.68539,153.824,161.168,2.69981,55.0293
161.168,2.72263,2.67242,2.77284,168.863,176.925,2.56519,57.6715
176.925,2.82042,2.74511,2.89573,185.372,194.222,2.43057,60.3941
194.222,2.90955,2.80277,3.01633,203.495,213.21,2.29595,63.2145
213.21,2.94816,2.81313,3.08319,223.389,234.054,2.16132,66.1241
234.054,2.9065,2.75213,3.06087,245.228,256.936,2.02669,69.0722
256.936,2.79242,2.63286,2.95198,269.203,282.056,1.89204,71.9787
282.056,2.65535,2.50909,2.80161,295.522,309.631,1.75737,74.7712
309.631,2.55737,2.43884,2.6759,324.414,339.902,1.6227,77.4265
339.902,2.53835,2.43797,2.63873,356.13,373.132,1.48801,79.9839
