a,Ra
0.010061339908138886,7585.209381074837
0.010067473858136448,7576.132499986327
0.01007360780813401,7567.072098804321
0.010079741758131571,7558.028137543893
0.010085875708129133,7549.000576340238
0.010098143608124256,7530.994495247902
0.010104277558121818,7522.015896233705
0.01011041150811938,7513.053539024543
0.010122679408114503,7495.177393079478
0.010147215208104752,7459.6182831433125
0.010196286808085247,7389.264153769978
0.010202420758082809,7380.5407776246
0.01020855470808037,7371.833029064511
0.010220822608075494,7354.464265150704
0.010245358408065742,7319.91262955461
0.010294430008046238,7251.544695231639
0.010392573208007228,7117.685768477407
0.010399223112699531,7108.751905059213
0.010405873017391834,7099.835061298939
0.01041917282677644,7082.052259554167
0.010445772445545651,7046.688994507525
0.010498971683084075,6976.762294923525
0.010605370158160921,6840.0338144312245
0.010818167108314614,6578.508528311618
0.011215557621788462,6129.14335850118
0.011605152910861092,5732.374424172383
0.012027769300397145,5344.551039837482
0.01242218230309966,5017.502948573305
0.012849616406265599,4696.296257380976
0.01326925528503032,4410.452445619297
0.013660690776961503,4167.04571580113
0.014085147369356107,3925.5316467312464
0.014481400574917175,3718.8164664144165
0.014869858556077026,3531.871332264679
0.015291337637700297,3344.8034000003886
0.015684613332490032,3183.565948078533
0.01611091012774319,3021.8408793899753
0.01652941169859513,2874.982914962884
0.016919709882613532,2747.6378967944324
0.017343029167095358,2619.03311001659
0.017738145064743645,2507.130932385425
0.018166282062855355,2393.944863214301
0.018586623836565848,2290.267063263779
0.018978762223442802,2199.6279557884154
0.01940392171078318,2107.434691609754
0.01980087781129002,2026.606255800748
0.02019003868739564,1951.8981668410588
0.020612220663964686,1875.535866801894
0.021006199253700193,1808.3414306049824
0.021433198943899123,1739.6109774939591
0.021852403409696835,1675.9710898025994
0.02224340448866101,1619.78814592833
0.022667426668088606,1562.0767323553762
0.023063245460682665,1511.0158305111217
0.023451269028875506,1463.4176863479263
0.02387231369753177,1414.3385432857444
0.024265154979354497,1370.8017981999828
0.024691017361640647,1325.902209626663
0.02508867635709326,1285.9960285686254
0.025478540128144652,1248.6473435739417
0.02590142499965947,1210.0005371547686
0.026296106484340748,1175.5767610727466
0.02672380906948545,1139.9568855463042
0.027143716430228934,1106.5877819009204
0.027535420404138884,1076.8059111289856
0.027960145478512253,1045.8962323652684
0.028356667166052084,1018.2647368780466
0.0287453936291907,992.2618112268633
0.029167141192792737,965.1993412243199
0.02956068536956124,940.9677278287714
0.029567549654284292,940.5535013095771
0.02957441393900735,940.1395584555512
0.029588142508453458,939.312522699008
0.029615599647345676,937.6618437014873
0.029670513925130114,934.373997694969
0.02978034248069899,927.8518930379323
0.029787206765422042,927.4466157986808
0.029794071050145098,927.0416140180902
0.029807799619591208,926.2324358268631
0.029835256758483426,924.6173738966653
0.029890171036267864,921.4003718681686
0.029897035320990917,920.999471934204
0.029903899605713973,920.5988434673252
0.029917628175160083,919.7983999469849
0.0299450853140523,918.2007596601017
0.029951949598775354,917.8020245612386
0.02995881388349841,917.4035589608998
0.02997254245294452,916.6074352768512
0.029979406737667573,916.2097767043664
0.029986271022390626,915.8123866528415
0.02999313530711368,915.4152648785828
0.029999999591836735,915.0184111381459
0.025000001122448982,1294.7323944467641
0.025016869484942278,1293.0634504159686
0.025033737847435573,1291.397831769599
0.025067474572422165,1288.0765350993042
0.025134948022395343,1281.4734571975855
0.025269894922341704,1268.4234113253076
0.02553978872223443,1242.932528551711
0.026079576322019876,1194.2716012156727
0.027249959547865184,1098.384823101724
0.028342783459918263,1019.2129745396528
0.029414170504867995,949.8773266793529
0.030576365576092137,882.6280506546594
0.03166100133352405,826.3243796386422
0.03283644511723038,771.3933309844346
0.03399045203383336,722.819150646171
0.03506689963664411,681.6884520712235
0.036234155265729276,641.0905456288042
0.037323851581022215,606.5121774202162
0.038392111029211806,575.3768620017809
0.03955117850367581,544.3512801882724
0.04063268666434758,517.7148506936965
0.041805002851293765,491.0961405622941
0.0429558821711366,467.01007353284507
0.044029202177187206,446.19051360632375
0.045193330209512224,425.22755313061026
0.046279898928045016,407.03839107638044
0.04745727567285222,388.6890547909594
0.048613215550556074,371.9239639193309
0.049691596114467704,357.30075573112236
0.050860784704653744,342.4587683968006
0.05195241398104756,329.47280533811477
0.05302260639033802,317.4920018491949
0.05418360682590289,305.2674992990184
0.055267047947675535,294.5285702448988
0.05644129709572259,283.56138649666883
0.0575941093766663,273.42189067290377
0.05866936234381778,264.4826589135646
0.059835423337243676,255.31198773049573
0.060923925016877344,247.20792844572108
0.061990989829407664,239.66163399790662
0.06314886266821239,231.88867748573594
0.0642291761932249,225.00030510621386
0.06540029774451181,217.90287716655084
0.06649385998200649,211.6002646142748
0.06756598535239783,205.70615238012752
0.06872891874906358,199.6117330033268
0.0698142928319371,194.18706710887778
0.07099047494108504,188.57757857497745
0.07214522018312962,183.32582449789516
0.07322240611138198,178.6412327771894
0.07439040006590875,173.7817323062105
0.07548083470664328,169.4396825213
0.07654983248027447,165.35525786688814
0.07770963828018007,161.1060870495492
0.07879188476629345,157.30278486806333
0.07881076154928185,157.23778042153378
0.07882963833227025,157.17282085221888
0.07886739189824704,157.04303617703235
0.07894289903020064,156.78400350591414
0.07909391329410784,156.2680755259615
0.07939594182192224,155.2446948349796
0.07941481860491065,155.18110584176694
0.07943369538789904,155.1175604041694
0.07947144895387584,154.9906000338423
0.07954695608582943,154.73720018153895
0.07969797034973664,154.2324750209811
0.07971684713272503,154.16957808355608
0.07973572391571343,154.10672405933875
0.07977347748169022,153.9811445915653
0.07984898461364383,153.73049886850728
0.07986786139663224,153.66794412627172
0.07988673817962064,153.60543198051874
0.07992449174559743,153.48053532098044
0.07994336852858583,153.41815072856724
0.07996224531157423,153.35580857538127
0.07998112209456262,153.2935088222234
0.07999999887755102,153.2312514299363
0.08000000244897959,153.23123965503626
0.08003680614896497,153.10997929208264
0.08007360984895033,152.98887951561
0.08014721724892107,152.74716056801216
0.08029443204886257,152.2656370519787
0.08058886164874554,151.3101837418477
0.08117772084851148,149.42915019584888
0.08235543924804337,145.78269311193876
0.08490900264988768,138.37099839129243
0.08729334573073078,132.00654894026977
0.08963091746516656,126.23382249258388
0.09216661580238288,120.44156287153459
0.09453309381859797,115.43341993977457
0.0970976984375936,110.3965484035304
0.09961553171018192,105.80878005205953
0.10196414466176902,101.81854892334046
0.10451088421613665,97.77843137056308
0.10688840344950305,94.2524949945331
0.10921915133646215,91.00661219120695
0.11174802582620179,87.70115432799739
0.1141076799949402,84.80346970663479
0.11666546076645914,81.84928759327738
0.1191764701915708,79.12306082110388
0.1215182592956812,76.72372590507764
0.12405817500257216,74.26568148045233
0.12642887038846187,72.09692422232166
0.12899769237713213,69.87358034778259
0.1315197430193951,67.80958636242805
0.13387257334065683,65.98271770392621
0.1364235302646991,64.10210844974841
