label,real time passed,tau (one Ra),tau (cum Ra),T = phi D / E^2,tau_S,T,lambda,relative error lambda,absolute error lambda,E,relative error E,absolute error E,L = phi D / E,lower limit L,upper limit L,a,lower_a,upper_a,lower_error_a,upper_error_a,Ra,lower_Ra,upper_Ra,lower_error_Ra,upper_error_Ra,Pe,notes,Constants,,,
,[h],[T],[T],[h],[h],[tau_S], [m],, [m],[m/s],, [m/s],[m],,,,,,,,,,,,,,,,value,unit,
068_B05,190.5,3.19236449241684,5.66098722387154,59.6736370337769,0.013104353538649,431.992864598427,0.101136,0.117070083847493,0.01184,3.432E-08,0.091958041958042,3.156E-09,0.016794289044289,0.015379976518305,0.018495058400719,1.04336369015594,0.85536080658359,1.30137832824351,0.188002883572348,0.258014638087569,773.07277972028,707.969308357349,851.362398921833,65.1034713629312,78.2896192015531,0.0073,,,,,
069_B01,40.5,168.021739336628,168.021739336628,0.241040237768633,0.671025906749468,250.395309102961,0.073356,0.179644473526365,0.013178,5.4E-07,0.014148148148148,7.64E-09,0.00106737037037,0.00105247973121,0.001082688406342,0.091423821206587,0.076419964213433,0.11304350239256,0.015003856993154,0.021619681185974,49.13307,48.4476258125776,49.8381880682245,0.685444187422391,0.705118068224515,0.1149,,,,,
070_B01,27,3.25133973878651,3.25133973878651,8.30426906112161,0.04809750760812,67.5989235300341,0.070108,0.256204712728932,0.017962,9.2E-08,0.088695652173913,8.16E-09,0.006265,0.005754592651757,0.006874761450382,0.561478803410205,0.410550380360245,0.828355005856741,0.150928423049961,0.266876202446536,288.389758695652,264.894746405751,316.458227576336,23.4950122899014,28.0684688806837,0.0196,,,,,
070_B02,46,16.0086335138622,9.86360140755566,2.8734495021182,0.099329178724951,99.3021540515165,0.075673,0.076738070381774,0.005807,1.564E-07,0.020460358056266,3.2E-09,0.003685294117647,0.003611403508772,0.00376227154047,0.305992703509004,0.278486959555892,0.338348399288673,0.027505743953112,0.032355695779668,169.641034526854,166.239710526316,173.184450391645,3.40132400053844,3.54341586479069,0.0333,,,,,
070_B03,111.5,15.4850171202018,18.960180971441,7.20050866812,0.052943854717233,358.11863478217,0.100469,0.145497616180115,0.014618,9.88E-08,0.077732793522267,7.68E-09,0.005833805668016,0.005413035311796,0.006325504828797,0.364837731620925,0.295525158691432,0.462945323884342,0.069312572929493,0.098107592263417,268.541070850202,249.17221825695,291.17491000878,19.3688525932528,22.6338391585771,0.0210,,,,,
070_B04,134,999.320655215259,186.756559645645,0.134091094085447,1.18397870898542,157.736417241558,0.166583,0.066651459032434,0.011103,7.24E-07,0.015524861878453,1.124E-08,0.000796104972376,0.000783934497579,0.000808659296257,0.030027524209577,0.027720843043234,0.032679162649571,0.002306681166343,0.002651638439994,36.6462124309392,36.0859825363147,37.2241116224255,0.560229894624563,0.577899191486274,0.1541,,,,,
070_B05,164,519.817359220723,281.845100966509,0.31549542755913,0.52968875087708,532.09568921337,0.123852,0.071504699157058,0.008856,4.72E-07,0.027372881355932,1.292E-08,0.001221144067797,0.001188608430257,0.001255511022044,0.061950347711217,0.056275786124259,0.068598980892466,0.005674561586958,0.006648633181248,56.2115631355932,54.7138864142539,57.793538816764,1.49767672133932,1.58197568117073,0.1005,,,,,
070_B06,181.5,314.161176883459,312.13612353103,0.577728928190668,0.32267648505809,967.334584281335,0.128883,0.025216669382308,0.00325,3.488E-07,0.075573394495413,2.636E-08,0.00165246559633,0.001536357820663,0.001787557375016,0.080559480734331,0.07305685094081,0.089399713725205,0.007502629793522,0.008840232990874,76.0661060779817,70.7214463162384,82.2846352809825,5.34465976174324,6.21852920300086,0.0742,,,,,
070_B07,188,499.169769802051,329.394652806101,0.376625371513489,0.456074803300421,722.238217113532,0.113662,0.198175291654203,0.022525,4.32E-07,0.00112037037037,4.84E-10,0.001334212962963,0.001332719823161,0.001335709452257,0.073754705051275,0.061486967269073,0.092086748577205,0.012267737782202,0.01833204352593,61.4163375,61.3476054605488,61.4852237228747,0.06873203945117,0.06888622287471,0.0920,,,,,
070_B08,207,54.7926139370774,334.423926549118,3.77788145383453,0.082165550475195,4070.12336210267,0.127533,0.129786016168364,0.016552,1.364E-07,0.036656891495601,5E-09,0.004225659824047,0.004076237623762,0.004386453576865,0.208186145700269,0.177754494542791,0.248338910847644,0.030431651157478,0.040152765147375,194.515086510264,187.636900990099,201.916726027397,6.87818552016492,7.40163951713336,0.0290,,,,,
070_B09,278,42.450933027288,345.26571160285,6.54873709893015,0.056447537803044,6116.57700301383,0.102044,0.080808278781702,0.008246,1.036E-07,0.042084942084942,4.36E-09,0.005563513513514,0.005338829195999,0.005807940346634,0.342563858378792,0.30415135698469,0.389052703159463,0.038412501394102,0.046488844780671,256.099013513513,245.756370878103,267.350441354293,10.3426426354105,11.2514278407791,0.0221,,,,,
070_B10,283.25,10.0747171135624,345.452445106278,28.1149333333333,0.021423607435374,16124.8494749711,0.098979,0.18889865527031,0.018697,5E-08,0.03296,1.648E-09,0.0115276,0.01115977385378,0.011920499669093,0.731771860162743,0.595864297813644,0.932945222778346,0.135907562349099,0.201173362615603,530.637156,513.705425185874,548.72306833223,16.9317308141264,18.0859123322304,0.0106,,,,,
070_B11,289.75,9.97876013696162,345.67629994973,29.0366734968163,0.020974997663896,16480.3975422959,0.08429,0.226349507652153,0.019079,4.92E-08,0.085365853658537,4.2E-09,0.011715040650407,0.010793632958802,0.012808444444445,0.873268137236334,0.656080604609074,1.23411433563608,0.21718753262726,0.360846198399749,539.265402439025,496.851269662921,589.59684,42.4141327761031,50.3314375609756,0.0105,,,,,
070_B12,302,9.41069249082338,346.058025059044,32.0911559159422,0.019644046152909,17616.4331098256,0.100839,0.075585834845645,0.007622,4.68E-08,0.094017094017094,4.4E-09,0.012315811965812,0.011257421875,0.013593867924528,0.767386911706595,0.652146557027196,0.916279125171822,0.115240354679399,0.148892213465226,566.920038461539,518.20034765625,625.751363207547,48.7196908052885,58.8313247460087,0.0100,,,,,
070_B14,325.75,295.247384355645,367.584119850898,1.10331206053163,0.197174733170303,1864.25569818528,0.098803,0.176776008825643,0.017466,2.524E-07,0.146909667194929,3.708E-08,0.002283597464342,0.001991087467183,0.002676853055917,0.145220955188295,0.107598513095593,0.206783675208284,0.037622442092702,0.061562720019988,105.118295562599,91.6535090507116,123.220591677503,13.4647865118874,18.1022961149042,0.0537,,,,,
070_B15,333.5,198.23510011287,372.190782597149,1.68234586009296,0.145029263498519,2566.31505682954,0.105496,0.292058466671722,0.030811,2.044E-07,0.117416829745597,2.4E-08,0.002819863013699,0.002523555166375,0.003195011086475,0.167946859178846,0.116325388595041,0.268793555798538,0.051621470583806,0.100846696619692,129.803609589041,116.164000875657,147.07238248337,13.6396087133843,17.2687728943292,0.0435,,,,,
070_B17,358,260.149405772496,389.994303383256,1.37613229957971,0.167684417629338,2325.76353185856,0.133035,0.037907317623182,0.005043,2.26E-07,0.034336283185841,7.76E-09,0.002550353982301,0.002465691307324,0.002641037390029,0.120452111622512,0.112200317170136,0.129649722832249,0.008251794452376,0.009197611209737,117.397600884956,113.500418377823,121.571929068915,3.89718250713234,4.17432818395922,0.0481,,,,,
070_B18,374,236.448056453984,400.109728258293,1.58174275402761,0.151605313542395,2639.15372693323,0.127014,0.305824554773489,0.038844,2.108E-07,0.052561669829222,1.108E-08,0.002734250474383,0.00259771047413,0.002885940316443,0.135259124244533,0.09840885747665,0.205658362182978,0.036850266767883,0.070399237938445,125.862703036053,119.577509464575,132.845272381334,6.28519357147768,6.98256934528074,0.0449,,,,,
071_B02,88,283.673985829595,283.673985829595,0.310215262575618,0.537419689449748,527.844422894223,0.080579,0.172439469340647,0.013895,4.76E-07,0.005882352941176,2.8E-09,0.001210882352941,0.001203801169591,0.001218047337278,0.094419119233591,0.080061242474522,0.114768417207059,0.014357876759069,0.020349297973468,55.7391970588235,55.4132368421053,56.0690147928994,0.325960216718272,0.329817734075867,0.1013,,,,,
071_B03,93.75,287.164116815737,301.286718327627,0.326468366032501,0.514433155628784,585.667379777201,0.082316,0.175567325914767,0.014452,4.64E-07,0.004491379310345,2.084E-09,0.001242198275862,0.001236644038414,0.001247802630781,0.094817070259742,0.08029579667217,0.115527748968318,0.014521273587572,0.020710678708577,57.1807280172414,56.9250559984896,57.4387070376432,0.255672018751831,0.257979020401827,0.0988,,,,,
071_B04,99.75,305.542620291945,319.665221803834,0.326468366032501,0.514433155628784,621.393116493652,0.06143,0.168158880026046,0.01033,4.64E-07,0.005094827586207,2.364E-09,0.001242198275862,0.001235901570447,0.001248559471098,0.127054565448492,0.108213469740162,0.153521145282704,0.01884109570833,0.026466579834211,57.1807280172414,56.890878798535,57.4735458239825,0.28984921870633,0.292817806741155,0.0988,,,,,
071_B05,112,325.55009437452,355.272263376047,0.344033074894928,0.492056471916836,722.015223155306,0.096181,0.096515943897443,0.009283,4.52E-07,0.006946902654867,3.14E-09,0.00127517699115,0.001266379575515,0.001284097491423,0.083303077893248,0.075446574586495,0.092847044708669,0.007856503306753,0.009543966815421,58.6988004424779,58.293838818825,59.1094278839727,0.404961623652895,0.41062744149486,0.0962,,,,,
071_B06,117.5,323.64295131413,370.421507905645,0.363054407713499,0.470273907995044,787.67182615955,0.099534,0.116472763075934,0.011593,4.4E-07,0.008981818181818,3.952E-09,0.001309954545455,0.001298293509208,0.001321826954831,0.082692217263183,0.073406271216393,0.094441542639116,0.00928594604679,0.011749325375933,60.2996768181818,59.762897340253,60.8461861996844,0.536779477928818,0.546509381502617,0.0937,,,,,
071_B07,135.75,254.212749760507,404.597439273079,0.534001540551722,0.343391070864387,1178.24100159222,0.119282,0.205990845223923,0.024571,3.628E-07,0.014884233737597,5.4E-09,0.001588699007718,0.001565399239544,0.001612702853945,0.083684799574317,0.068373224762583,0.106987687562749,0.015311574811733,0.023302887988432,73.1308098125689,72.0582775665399,74.2357520984891,1.07253224602898,1.10494228592016,0.0772,,,,,
071_B08,143.5,230.490690593848,417.04554277205,0.622584797808012,0.304315105614204,1370.4398338371,0.115302,0.035315952888935,0.004072,3.36E-07,0.006761904761905,2.272E-09,0.001715416666667,0.001703895090342,0.001727095119379,0.093478697643507,0.089683587687519,0.09756053832763,0.003795109955989,0.004081840684122,78.9638625,78.4335026251064,79.5014436906702,0.530359874893577,0.537581190670238,0.0715,,,,,
071_B09,159.5,261.709196346426,443.298502907115,0.609455083071934,0.309424224233565,1432.65610184578,0.076857,0.210989239756951,0.016216,3.396E-07,0.007067137809187,2.4E-09,0.001697232037691,0.001685321637427,0.00170931198102,0.138751491758692,0.113772932538472,0.177106642775229,0.02497855922022,0.038355151016537,78.1267897526502,77.5785315789474,78.6828523131673,0.548258173702806,0.556062560517091,0.0723,,,,,
071_B10,168,285.482625793173,457.742564331174,0.588477142989826,0.318034930371524,1439.28392958737,0.090383,0.120254915194229,0.010869,3.456E-07,0.008877314814815,3.068E-09,0.001667766203704,0.001653091192768,0.001682704097719,0.115938662214382,0.102582450656066,0.132967045590987,0.013356211558316,0.017028383376605,76.770421875,76.0949034611722,77.4580412924924,0.67551841382776,0.687619417492385,0.0736,,,,,
071_B11,171.5,298.898094488338,463.842525443181,0.573774149659864,0.324425941728741,1429.73315565193,0.091012,0.067573506790313,0.00615,3.5E-07,0.009028571428571,3.16E-09,0.0016468,0.001632064786499,0.001661803713528,0.113689948181163,0.105540905774857,0.123040002312641,0.008149042406307,0.009350054131478,75.805308,75.1270183486239,76.4959572137009,0.678289651376147,0.690649213700837,0.0745,,,,,
071_B12,183.75,326.869797308192,485.633845263727,0.562150438838954,0.329703490071461,1472.94117256226,0.096637,0.136935128366982,0.013233,3.536E-07,0.016742081447964,5.92E-09,0.001630033936652,0.001603193146417,0.001657788771284,0.105982235385763,0.091682530464565,0.124888423218781,0.014299704921198,0.018906187833018,75.0335345022625,73.7980023364486,76.3111418545789,1.23553216581384,1.27760735231648,0.0753,,,,,
071_B13,189,26.4611114378124,486.368876137,7.14255712365591,0.053233229879991,9136.56520999137,0.086644,0.252227505655325,0.021854,9.92E-08,0.157258064516129,1.56E-08,0.005810282258065,0.005020731707317,0.006894497607656,0.421345737898061,0.290753633197915,0.668612533860298,0.130592104700146,0.247266795962237,267.458243951613,231.113743902439,317.366720095694,36.3445000491739,49.9084761440809,0.0211,,,,,
066_R01,71,2.93423133522399,2.93423133522399,24.1971378151683,0.023643001936989,124.105701257563,0.075312,0.110805714892713,0.008345,5.3896E-08,1.48434021077631,8E-08,0.010694300133591,0.004304684232539,-0.022080140974563,0.892211991049895,0.323309809363669,-2.0716713807075,0.568902181686225,-2.96388337175739,492.278792489239,198.152728983689,-1016.39050720196,294.12606350555,-1508.6692996912,0.0115,reservoir measurement,,,,
068_B07,674.75,9.07516170722691,12.1739876784468,74.3512922158368,0.011359303802631,1071.71952524297,0.087494,0.097915285619585,0.008567,3.07464E-08,2.60193063252934,8E-08,0.018746259724716,0.005204503261506,-0.011702291812172,1.34622058274755,0.340417634876403,-0.931590811440604,1.00580294787115,-2.27781139418815,862.925669346655,239.573094926788,-538.678549385223,623.352574419868,-1401.60421873188,0.0065,reservoir measurement,,,,
075_B01,103,33.1158914453284,188.116333660249,3.11028921477305,0.094000674303412,2001.22323647439,0.075349,0.101041818736811,0.0076134,1.503274E-07,0.063328441787725,9.52E-09,0.003834164630001,0.003605814045146,0.004093392818843,0.319722449780767,0.273087541210016,0.379704994358543,0.046634908570751,0.059982544577776,176.493824811711,165.982416980195,188.426586954947,10.5114078315161,11.932762143236,0.0320,,,,,
030_F01,,,,,,,,,,1.194E-07,0.670016750418761,8E-08,0.013484087102178,0.002890571715145,0.014628934010152,,#DIV/0!,#DIV/0!,,,222.209864321608,,,,,0.2495,,,,,
,,,,,,,,,,,,,,,,,,,,,773.07277972028,,,,,,,,,,
,,min T,3.25133973878651,0.051170757182184,min T [tau_S],67.5989235300341,,,max E,1.172E-06,,max L,0.016794289044289,,,,,,,,22.6381039249147,,,,,0.0073,,,,,
,,max T,6296.27632392199,59.6736370337769,max T [tau_S],24540.3630471356,,,min E,3.432E-08,,min L,0.000491791808874,,,,,,,,159.335341716353,,,,,0.0771,,,,,
,,,,,,,,,average E,3.620864E-07,,average L,0.003461412500804,,,,,,,,178.625000874622,,,,,0.0552,,,,,
,,,,,,,,,stdev,2.59151017714949E-07,,stdev L,0.003880462453109,,,,,,,,,,,,,,,,,,
