T27-S T1,overview statistics,,,,
identifier,water [g],sand [g],salt direct [g],salt indirect [g],salt difference [g]
"(13,2)",03.4106,6.24,-37.74,2.43,40.16
"(13,3)",03.2075,6.47,-39.48,0.77,40.25
"(13,4)",03.2692,10.41,0.57,0.57,0.00
"(13,5)",02.6208,7.65,-39.63,0.44,40.06
"(13,6)",07.2956,10.58,-37.67,0.98,38.65
"(13,7)",04.0888,10.85,0.61,0.61,0.00
"(13,8)",15.1743,5.05,-38.27,1.93,40.20
"(13,9)",14.3567,4.60,1.62,1.64,0.02
"(14,1)",03.1071,7.00,-37.28,2.34,39.62
"(14,2)",03.1517,6.31,-39.35,2.37,41.71
"(14,3)",02.9130,8.07,-37.13,0.71,37.83
"(14,4)",02.6755,8.89,0.48,0.49,0.01
"(14,5)",02.3400,6.84,-37.46,0.40,37.86
"(14,6)",04.5504,6.97,0.70,0.73,0.02
"(14,7)",03.4829,9.21,-37.16,0.52,37.68
"(14,8)",14.4150,5.13,2.02,1.87,-0.14
"(14,9)",14.7665,4.96,1.71,1.66,-0.05
"(15,1)",04.1401,10.11,3.54,3.86,0.32
"(15,2)",02.7666,5.48,-37.59,2.30,39.89
"(15,3)",04.3251,8.24,1.04,1.03,-0.01
"(15,4)",02.4276,8.05,-37.24,0.44,37.69
"(15,5)",02.8403,8.45,-38.27,0.49,38.75
"(15,6)",06.3245,9.07,-37.49,0.93,38.42
"(15,7)",03.6025,9.39,0.53,0.54,0.02
"(15,8)",12.4790,4.49,1.54,1.62,0.08
"(15,9)",14.6800,4.27,1.66,1.66,-0.01
"(16,1)",04.5778,10.42,2.61,3.09,0.48
"(16,2)",03.6493,6.59,1.63,2.60,0.97
"(16,3)",04.7289,11.26,1.04,1.05,0.01
"(16,4)",02.4373,8.17,-35.80,0.44,36.24
"(16,5)",02.2753,6.46,-37.64,0.40,38.03
"(16,6)",04.3667,6.85,0.67,0.70,0.03
"(16,7)",04.9008,12.10,0.58,0.70,0.12
"(16,8)",19.7485,7.31,2.52,2.46,-0.06
"(16,9)",16.7720,6.01,-36.94,1.94,38.89
"(17,1)",03.8169,8.62,-37.20,2.67,39.88
"(17,2)",03.6691,7.13,-35.82,2.80,38.62
"(17,3)",03.5826,7.80,0.84,0.84,0.00
"(17,4)",02.8046,9.54,0.22,0.50,0.27
"(17,5)",02.7194,8.00,0.35,0.44,0.10
"(17,6)",07.3430,10.64,-37.96,1.02,38.98
"(17,7)",05.8846,14.78,-38.52,0.83,39.34
"(17,8)",12.6534,4.94,1.69,1.64,-0.05
"(17,9)",14.0664,4.46,1.63,1.82,0.19
