d_s_center,d_s_lower,d_s_upper,site,z
2.027078485870774e-05,1.9347101541086703e-05,2.123856681800818e-05,owens_lake_T27-A_P3,5.0
1.1906254340780761e-05,1.1363719686421333e-05,1.2474691354156879e-05,owens_lake_T27-A_P3,6.0
1.3097708617798412e-05,1.2500882879707933e-05,1.3723029072830859e-05,owens_lake_T27-A_P3,7.0
1.189190043253248e-05,1.1350019961505472e-05,1.2459652275797111e-05,owens_lake_T27-A_P3,8.0
1.451540104266791e-05,1.3853975038785586e-05,1.5208406051815184e-05,owens_lake_T27-A_P3,9.0
1.156576545250781e-05,1.103874597084872e-05,1.2117946697093927e-05,owens_lake_T27-A_P3,10.0
1.4398585285876742e-05,1.3742483277593884e-05,1.508601436746293e-05,owens_lake_T27-S_P1,1.0
1.429372353414394e-05,1.3642399994156608e-05,1.4976146451868687e-05,owens_lake_T27-S_P1,2.0
4.453819006859502e-05,4.250871038157503e-05,4.6664566176866016e-05,owens_lake_T27-S_P1,3.0
1.4123378701499633e-05,1.3479817388708316e-05,1.4797668995554574e-05,owens_lake_T27-S_P1,4.0
1.8686603581798783e-05,1.783510913411542e-05,1.957875496756745e-05,owens_lake_T27-S_P1,5.0
2.2235047776915365e-05,2.1221860699434903e-05,2.3296611616021303e-05,owens_lake_T27-S_P1,6.0
1.9222569865086895e-05,1.8346652278296812e-05,2.0140309093423566e-05,owens_lake_T27-S_P1,7.0
2.0780345766926122e-05,1.9833445182647082e-05,2.1772457947734954e-05,owens_lake_T27-S_P1,8.0
1.9218156089763552e-05,1.8342440101038645e-05,2.013568501804139e-05,owens_lake_T27-S_P1,9.0
8.154238810550539e-05,7.7826725531639e-05,8.543544108433011e-05,owens_lake_T29-3_P1,1.0
0.00016965062770756798,0.00016192010910503484,0.00017775019873974884,owens_lake_T29-3_P1,2.0
0.0001720238969658801,0.00016418523553698254,0.0001802367726841927,owens_lake_T29-3_P1,3.0
0.00018059630669720668,0.00017236700794320147,0.00018921844334048374,owens_lake_T29-3_P1,4.0
8.488296116916886e-05,8.101507523763961e-05,8.893549964363234e-05,owens_lake_T29-3_P1,5.0
0.0001943647985125926,0.00018550812797791977,0.00020364429901903444,owens_lake_T29-3_P2,1.0
6.97966425827033e-05,6.661620441089346e-05,7.3128924071689e-05,owens_lake_T29-3_P2,2.0
9.352719156842883e-05,8.926540934409879e-05,9.799242563559776e-05,owens_lake_T29-3_P2,3.0
0.00010062440274426656,9.603922160651258e-05,0.00010542847854150339,owens_lake_T29-3_P2,4.0
0.00012229361068539824,0.0001167210152232502,0.00012813222518693614,owens_lake_T29-3_P2,5.0
2.2256961216987934e-05,2.1242775484841714e-05,2.331957121144506e-05,owens_lake_T32-1-L1_P1,1.0
1.3372097577430245e-05,1.2762769639552894e-05,1.4010519297983578e-05,owens_lake_T32-1-L1_P1,2.0
4.259266718120026e-05,4.065184082010473e-05,4.462615983612234e-05,owens_lake_T32-1-L1_P1,3.0
2.105215702271743e-05,2.009286964301924e-05,2.2057245262179373e-05,owens_lake_T32-1-L1_P1,4.0
7.915324814269699e-05,7.554643915194033e-05,8.293222419205591e-05,owens_lake_T32-1-L1_P1,5.0
2.1553552072139796e-05,2.05714180818858e-05,2.2582578774382287e-05,owens_lake_T32-1-L1_P2,1.0
2.023966346774422e-05,1.9317400173668306e-05,2.1205961974397964e-05,owens_lake_T32-1-L1_P2,2.0
1.2291367457050247e-05,1.173128533886455e-05,1.2878192119502625e-05,owens_lake_T32-1-L1_P2,3.0
3.112718719780864e-05,2.9708808955187353e-05,3.261328497088209e-05,owens_lake_T32-1-L1_P2,4.0
1.3220158894482912e-05,1.2617754418595214e-05,1.3851326677557506e-05,owens_lake_T32-1-L1_P2,5.0
5.329375031861274e-05,5.0865296429774534e-05,5.583813329003682e-05,owens_lake_T32-1-L1_P2,6.0
9.073747586237004e-05,8.6602794244481e-05,9.50695041548369e-05,owens_lake_T32-1-L1_P2,7.0
0.00016966971131956922,0.00016193829629573025,0.00017777016330850528,owens_lake_T32-1-L1_P2,8.0
1.9637994853443714e-05,1.8743147713537253e-05,2.0575567846644413e-05,owens_lake_T32-1-L1_P3,1.0
3.0850448122836925e-05,2.9444679126406476e-05,3.232333270944454e-05,owens_lake_T32-1-L1_P3,2.0
6.397409173007103e-05,6.105897126537672e-05,6.702838959551969e-05,owens_lake_T32-1-L1_P3,3.0
5.411055247289905e-05,5.164488367697997e-05,5.66939361296941e-05,owens_lake_T32-1-L1_P3,4.0
1.7689875245724908e-05,1.688379826608473e-05,1.8534439500606247e-05,owens_lake_T32-1-L1_P3,5.0
0.00015111294361789575,0.00014422712213940991,0.00015832745690324827,owens_lake_T32-1-L1_P3,6.0
0.00013838861933273563,0.00013208259797692625,0.00014499563260256558,owens_lake_T32-1-L1_P3,7.0
0.00024257519524919843,0.00023152171482290692,0.00025415639409604357,owens_lake_T32-1-L1_P3,8.0
,,,owens_lake_T36-3_P1,1.0
4.06938100945854e-05,3.883950418427491e-05,4.263664124559926e-05,owens_lake_T36-3_P1,2.0
4.039203790918142e-05,3.8551485764240394e-05,4.232046430969772e-05,owens_lake_T36-3_P1,3.0
5.383863863536537e-05,5.138535936401138e-05,5.640903944578614e-05,owens_lake_T36-3_P1,4.0
5.380211088123245e-05,5.1350496016764935e-05,5.637076769202767e-05,owens_lake_T36-3_P1,5.0
5.6990857130380725e-05,5.4393940517633934e-05,5.971175365586944e-05,owens_lake_T36-3_P2,1.0
5.2353025132912365e-05,4.996744311558919e-05,5.4852500463106005e-05,owens_lake_T36-3_P2,2.0
2.634740691759861e-05,2.5146831623652486e-05,2.760530651041835e-05,owens_lake_T36-3_P2,3.0
2.3815180015426107e-05,2.2729990026584414e-05,2.4952183058155807e-05,owens_lake_T36-3_P2,4.0
1.7798207447388164e-05,1.6987194466596152e-05,1.864794413396223e-05,owens_lake_T36-3_P2,5.0
0.0001669191497324282,0.00015931309377548365,0.00017488831063632964,owens_lake_T36-3_P3,1.0
7.008419975291366e-05,6.689065696651487e-05,7.343020907196881e-05,owens_lake_T36-3_P3,2.0
4.612622766440675e-05,4.402438432388632e-05,4.832841972265982e-05,owens_lake_T36-3_P3,3.0
2.4550353480811554e-05,2.343166268419702e-05,2.5722454783625427e-05,owens_lake_T36-3_P3,4.0
6.60498418303464e-05,6.304012986162366e-05,6.920323615203862e-05,owens_lake_T36-3_P3,5.0
1.1625846918932826e-05,1.109608984848209e-05,1.2180896836628634e-05,sua_pan_L5,1.0
9.635299921118097e-06,9.196246465575455e-06,1.0095315629096112e-05,sua_pan_B7,1.0
