Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.00946998,0.00872408,0.0102159,0.393033,0.411798,11.3129,0
0.411798,0.0168801,0.0155504,0.0182098,0.431458,0.452057,11.1783,0.00946998
0.452057,0.0250157,0.0230464,0.026985,0.473639,0.496252,11.0437,0.0263501
0.496252,0.0359652,0.03316,0.0387704,0.519944,0.544768,10.9091,0.0513658
0.544768,0.0454191,0.0419022,0.048936,0.570777,0.598027,10.7746,0.087331
0.598027,0.0542011,0.0500842,0.058318,0.626578,0.656493,10.64,0.13275
0.656493,0.0627237,0.0580708,0.0673766,0.687836,0.720675,10.5054,0.186951
0.720675,0.0715844,0.066398,0.0767708,0.755082,0.791132,10.3709,0.249675
0.791132,0.0799631,0.0743673,0.0855589,0.828903,0.868477,10.2363,0.321259
0.868477,0.0879514,0.0820203,0.0938825,0.90994,0.953383,10.1017,0.401222
0.953383,0.0958739,0.0896567,0.102091,0.9989,1.04659,9.96714,0.489174
1.04659,0.104175,0.0976017,0.110748,1.09656,1.14891,9.83257,0.585048
1.14891,0.113195,0.106151,0.120239,1.20376,1.26123,9.698,0.689223
1.26123,0.122935,0.115181,0.130689,1.32145,1.38454,9.56343,0.802418
1.38454,0.133679,0.124835,0.142523,1.45064,1.5199,9.42885,0.925353
1.5199,0.145651,0.135283,0.156019,1.59246,1.66849,9.29428,1.05903
1.66849,0.159372,0.147025,0.171719,1.74815,1.83161,9.15971,1.20468
1.83161,0.174883,0.160098,0.189668,1.91906,2.01068,9.02514,1.36405
2.01068,0.19217,0.174559,0.209781,2.10667,2.20725,8.89056,1.53894
2.20725,0.211055,0.190322,0.231788,2.31263,2.42304,8.75599,1.73111
2.42304,0.231506,0.207325,0.255687,2.53872,2.65993,8.62142,1.94216
2.65993,0.253505,0.225751,0.281259,2.78692,2.91998,8.48684,2.17367
2.91998,0.276895,0.245433,0.308357,3.05939,3.20545,8.35227,2.42717
3.20545,0.301442,0.266184,0.3367,3.35849,3.51883,8.2177,2.70407
3.51883,0.326694,0.287721,0.365667,3.68682,3.86284,8.08313,3.00551
3.86284,0.352443,0.309873,0.395013,4.04726,4.24049,7.94855,3.3322
4.24049,0.378454,0.332362,0.424546,4.44294,4.65506,7.81398,3.68465
4.65506,0.404644,0.355302,0.453986,4.87731,5.11017,7.6794,4.0631
5.11017,0.430725,0.378338,0.483112,5.35414,5.60976,7.54483,4.46775
5.60976,0.456543,0.401523,0.511563,5.87759,6.1582,7.41025,4.89847
6.1582,0.482271,0.424757,0.539785,6.45221,6.76025,7.27568,5.35501
6.76025,0.508429,0.448918,0.56794,7.08301,7.42117,7.14111,5.83729
7.42117,0.535851,0.474348,0.597354,7.77547,8.14669,7.00653,6.34571
8.14669,0.56501,0.501968,0.628052,8.53563,8.94315,6.87196,6.88157
8.94315,0.5966,0.532175,0.661025,9.37012,9.81748,6.73738,7.44658
9.81748,0.631146,0.565699,0.696593,10.2862,10.7773,6.6028,8.04318
10.7773,0.669937,0.603535,0.736339,11.2918,11.8309,6.46823,8.67432
11.8309,0.713283,0.646188,0.780378,12.3958,12.9876,6.33365,9.34426
12.9876,0.759757,0.692236,0.827278,13.6076,14.2573,6.19907,10.0575
14.2573,0.804912,0.73763,0.872194,14.938,15.6512,6.0645,10.8173
15.6512,0.842686,0.77654,0.908832,16.3984,17.1813,5.92992,11.6222
17.1813,0.86892,0.805137,0.932703,18.0016,18.861,5.79534,12.4649
18.861,0.883232,0.823121,0.943343,19.7615,20.705,5.66076,13.3338
20.705,0.890149,0.834311,0.945987,21.6935,22.7292,5.52618,14.217
22.7292,0.895056,0.843077,0.947035,23.8143,24.9513,5.39161,15.1072
24.9513,0.901289,0.852118,0.95046,26.1425,27.3906,5.25703,16.0023
27.3906,0.907835,0.860173,0.955497,28.6983,30.0685,5.12245,16.9035
30.0685,0.910306,0.863289,0.957322,31.504,33.0081,4.98787,17.8114
33.0081,0.904756,0.857512,0.952,34.584,36.2352,4.85328,18.7217
36.2352,0.890458,0.841863,0.939053,37.9652,39.7777,4.7187,19.6264
39.7777,0.87203,0.821814,0.922246,41.6768,43.6665,4.58412,20.5169
43.6665,0.857516,0.804686,0.910346,45.7513,47.9356,4.44954,21.3889
47.9356,0.85518,0.798942,0.911418,50.2242,52.622,4.31495,22.2464
52.622,0.870708,0.810377,0.931039,55.1343,57.7666,4.18036,23.1016
57.7666,0.9055,0.84086,0.97014,60.5245,63.4141,4.04578,23.9723
63.4141,0.957956,0.888137,1.02777,66.4417,69.6138,3.91119,24.8778
69.6138,1.02537,0.949098,1.10164,72.9374,76.4196,3.7766,25.8358
76.4196,1.10643,1.02207,1.19079,80.0681,83.8907,3.64201,26.8612
83.8907,1.2019,1.10772,1.29608,87.8959,92.0923,3.50742,27.9676
92.0923,1.31259,1.20683,1.41835,96.4892,101.096,3.37282,29.1695
101.096,1.43656,1.31972,1.5534,105.922,110.979,3.23822,30.4821
110.979,1.56702,1.44153,1.69251,116.278,121.829,3.10363,31.9186
121.829,1.69496,1.56422,1.8257,127.646,133.74,2.96902,33.4857
133.74,1.81277,1.68042,1.94512,140.125,146.815,2.83441,35.1806
146.815,1.91818,1.78463,2.05173,153.824,161.168,2.69981,36.9934
161.168,2.01063,1.87322,2.14804,168.863,176.925,2.56519,38.9116
176.925,2.08677,1.94136,2.23218,185.372,194.222,2.43057,40.9222
194.222,2.13608,1.98282,2.28934,203.495,213.21,2.29595,43.009
213.21,2.14619,1.9916,2.30078,223.389,234.054,2.16132,45.1451
234.054,2.1154,1.96917,2.26163,245.228,256.936,2.02669,47.2912
256.936,2.06362,1.93113,2.19611,269.203,282.056,1.89204,49.4066
282.056,2.03175,1.90738,2.15612,295.522,309.631,1.75737,51.4703
309.631,2.06488,1.93705,2.19271,324.414,339.902,1.6227,53.502
339.902,2.19167,2.04603,2.33731,356.13,373.132,1.48801,55.5669
