Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.0130506,0.0129081,0.0131931,0.393033,0.411798,11.3129,0
0.411798,0.0232866,0.0230312,0.023542,0.431458,0.452057,11.1783,0.0130506
0.452057,0.0346212,0.0341541,0.0350883,0.473639,0.496252,11.0437,0.0363372
0.496252,0.0499826,0.0494743,0.0504909,0.519944,0.544768,10.9091,0.0709584
0.544768,0.0634561,0.0626709,0.0642413,0.570777,0.598027,10.7746,0.120941
0.598027,0.0762547,0.0752765,0.0772329,0.626578,0.656493,10.64,0.184397
0.656493,0.0889191,0.0877096,0.0901286,0.687836,0.720675,10.5054,0.260652
0.720675,0.102218,0.100842,0.103594,0.755082,0.791132,10.3709,0.349571
0.791132,0.114882,0.113222,0.116542,0.828903,0.868477,10.2363,0.451789
0.868477,0.12702,0.125012,0.129028,0.90994,0.953383,10.1017,0.566671
0.953383,0.138875,0.136549,0.141201,0.9989,1.04659,9.96714,0.693691
1.04659,0.150701,0.147862,0.15354,1.09656,1.14891,9.83257,0.832566
1.14891,0.162537,0.159284,0.16579,1.20376,1.26123,9.698,0.983267
1.26123,0.174119,0.170277,0.177961,1.32145,1.38454,9.56343,1.1458
1.38454,0.185605,0.181282,0.189928,1.45064,1.5199,9.42885,1.31992
1.5199,0.197011,0.191911,0.202111,1.59246,1.66849,9.29428,1.50553
1.66849,0.208755,0.202988,0.214522,1.74815,1.83161,9.15971,1.70254
1.83161,0.220727,0.214439,0.227015,1.91906,2.01068,9.02514,1.91129
2.01068,0.232958,0.22586,0.240056,2.10667,2.20725,8.89056,2.13202
2.20725,0.245416,0.237611,0.253221,2.31263,2.42304,8.75599,2.36498
2.42304,0.258212,0.249761,0.266663,2.53872,2.65993,8.62142,2.6104
2.65993,0.271433,0.262336,0.28053,2.78692,2.91998,8.48684,2.86861
2.91998,0.284973,0.275261,0.294685,3.05939,3.20545,8.35227,3.14004
3.20545,0.298848,0.28855,0.309146,3.35849,3.51883,8.2177,3.42501
3.51883,0.31273,0.30194,0.32352,3.68682,3.86284,8.08313,3.72386
3.86284,0.326583,0.315424,0.337742,4.04726,4.24049,7.94855,4.03659
4.24049,0.340202,0.328464,0.35194,4.44294,4.65506,7.81398,4.36317
4.65506,0.353653,0.342083,0.365223,4.87731,5.11017,7.6794,4.70338
5.11017,0.366846,0.355224,0.378468,5.35414,5.60976,7.54483,5.05703
5.60976,0.379719,0.368045,0.391393,5.87759,6.1582,7.41025,5.42388
6.1582,0.392506,0.380886,0.404126,6.45221,6.76025,7.27568,5.8036
6.76025,0.405356,0.393791,0.416921,7.08301,7.42117,7.14111,6.1961
7.42117,0.419258,0.407548,0.430968,7.77547,8.14669,7.00653,6.60146
8.14669,0.43452,0.423197,0.445843,8.53563,8.94315,6.87196,7.02071
8.94315,0.452295,0.440695,0.463895,9.37012,9.81748,6.73738,7.45524
9.81748,0.472872,0.461969,0.483775,10.2862,10.7773,6.6028,7.90753
10.7773,0.498197,0.486864,0.50953,11.2918,11.8309,6.46823,8.3804
11.8309,0.529323,0.518061,0.540585,12.3958,12.9876,6.33365,8.8786
12.9876,0.567318,0.556083,0.578553,13.6076,14.2573,6.19907,9.40792
14.2573,0.611693,0.599543,0.623843,14.938,15.6512,6.0645,9.97524
15.6512,0.661107,0.648949,0.673265,16.3984,17.1813,5.92992,10.5869
17.1813,0.715788,0.704485,0.727091,18.0016,18.861,5.79534,11.248
18.861,0.776542,0.764587,0.788497,19.7615,20.705,5.66076,11.9638
20.705,0.847627,0.835223,0.860031,21.6935,22.7292,5.52618,12.7404
22.7292,0.932453,0.920418,0.944488,23.8143,24.9513,5.39161,13.588
24.9513,1.03437,1.02125,1.04749,26.1425,27.3906,5.25703,14.5205
27.3906,1.15442,1.14073,1.16811,28.6983,30.0685,5.12245,15.5548
30.0685,1.29179,1.27839,1.30519,31.504,33.0081,4.98787,16.7092
33.0081,1.44626,1.43107,1.46145,34.584,36.2352,4.85328,18.001
36.2352,1.61854,1.60093,1.63615,37.9652,39.7777,4.7187,19.4473
39.7777,1.81308,1.79539,1.83077,41.6768,43.6665,4.58412,21.0658
43.6665,2.0362,2.02022,2.05218,45.7513,47.9356,4.44954,22.8789
47.9356,2.29454,2.28003,2.30905,50.2242,52.622,4.31495,24.9151
52.622,2.59233,2.5766,2.60806,55.1343,57.7666,4.18036,27.2097
57.7666,2.92822,2.91139,2.94505,60.5245,63.4141,4.04578,29.802
63.4141,3.29377,3.27519,3.31235,66.4417,69.6138,3.91119,32.7302
69.6138,3.67235,3.65592,3.68878,72.9374,76.4196,3.7766,36.024
76.4196,4.04016,4.022,4.05832,80.0681,83.8907,3.64201,39.6963
83.8907,4.36843,4.35662,4.38024,87.8959,92.0923,3.50742,43.7365
92.0923,4.6263,4.60908,4.64352,96.4892,101.096,3.37282,48.1049
101.096,4.78496,4.77816,4.79175,105.922,110.979,3.23822,52.7312
110.979,4.82234,4.79398,4.8507,116.278,121.829,3.10363,57.5162
121.829,4.72975,4.7111,4.7484,127.646,133.74,2.96902,62.3385
133.74,4.51351,4.47218,4.55484,140.125,146.815,2.83441,67.0683
146.815,4.19386,4.1579,4.22982,153.824,161.168,2.69981,71.5818
161.168,3.79414,3.74395,3.84433,168.863,176.925,2.56519,75.7756
176.925,3.33354,3.27578,3.3913,185.372,194.222,2.43057,79.5698
194.222,2.8231,2.76279,2.88341,203.495,213.21,2.29595,82.9033
213.21,2.27328,2.21962,2.32694,223.389,234.054,2.16132,85.7264
234.054,1.7093,1.67625,1.74235,245.228,256.936,2.02669,87.9997
256.936,1.18261,1.17254,1.19269,269.203,282.056,1.89204,89.709
282.056,0.766762,0.724057,0.809467,295.522,309.631,1.75737,90.8916
309.631,0.515297,0.449039,0.581555,324.414,339.902,1.6227,91.6584
339.902,0.428747,0.353928,0.503566,356.13,373.132,1.48801,92.1737
373.132,0.47825,0.407726,0.548774,390.946,409.611,1.35329,92.6024
