Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.0400698,0.035999,0.0441406,0.393033,0.411798,11.3129,0
0.411798,0.0713694,0.0641369,0.0786019,0.431458,0.452057,11.1783,0.0400698
0.452057,0.105943,0.0952155,0.11667,0.473639,0.496252,11.0437,0.111439
0.496252,0.152954,0.137448,0.16846,0.519944,0.544768,10.9091,0.217382
0.544768,0.194714,0.174916,0.214512,0.570777,0.598027,10.7746,0.370336
0.598027,0.234614,0.210641,0.258587,0.626578,0.656493,10.64,0.56505
0.656493,0.274541,0.246302,0.30278,0.687836,0.720675,10.5054,0.799664
0.720675,0.317061,0.284199,0.349923,0.755082,0.791132,10.3709,1.07421
0.791132,0.35912,0.321505,0.396735,0.828903,0.868477,10.2363,1.39127
0.868477,0.401084,0.358506,0.443662,0.90994,0.953383,10.1017,1.75039
0.953383,0.444194,0.396364,0.492024,0.9989,1.04659,9.96714,2.15147
1.04659,0.489936,0.436323,0.543549,1.09656,1.14891,9.83257,2.59566
1.14891,0.539267,0.478911,0.599623,1.20376,1.26123,9.698,3.0856
1.26123,0.591692,0.52406,0.659324,1.32145,1.38454,9.56343,3.62487
1.38454,0.647615,0.571616,0.723614,1.45064,1.5199,9.42885,4.21656
1.5199,0.707128,0.621975,0.792281,1.59246,1.66849,9.29428,4.86417
1.66849,0.771317,0.675905,0.866729,1.74815,1.83161,9.15971,5.5713
1.83161,0.839465,0.732907,0.946023,1.91906,2.01068,9.02514,6.34262
2.01068,0.910556,0.79173,1.02938,2.10667,2.20725,8.89056,7.18208
2.20725,0.98304,0.85123,1.11485,2.31263,2.42304,8.75599,8.09264
2.42304,1.0558,0.910408,1.20119,2.53872,2.65993,8.62142,9.07568
2.65993,1.12783,0.968296,1.28736,2.78692,2.91998,8.48684,10.1315
2.91998,1.19777,1.02379,1.37175,3.05939,3.20545,8.35227,11.2593
3.20545,1.26404,1.0755,1.45258,3.35849,3.51883,8.2177,12.4571
3.51883,1.32464,1.12193,1.52735,3.68682,3.86284,8.08313,13.7211
3.86284,1.37841,1.16231,1.59451,4.04726,4.24049,7.94855,15.0458
4.24049,1.42454,1.19577,1.65331,4.44294,4.65506,7.81398,16.4242
4.65506,1.46289,1.22269,1.70309,4.87731,5.11017,7.6794,17.8487
5.11017,1.49334,1.24295,1.74373,5.35414,5.60976,7.54483,19.3116
5.60976,1.51655,1.2574,1.7757,5.87759,6.1582,7.41025,20.8049
6.1582,1.53453,1.26799,1.80107,6.45221,6.76025,7.27568,22.3215
6.76025,1.55099,1.27804,1.82394,7.08301,7.42117,7.14111,23.856
7.42117,1.57066,1.29162,1.8497,7.77547,8.14669,7.00653,25.407
8.14669,1.59826,1.31324,1.88328,8.53563,8.94315,6.87196,26.9777
8.94315,1.63909,1.34785,1.93033,9.37012,9.81748,6.73738,28.5759
9.81748,1.69971,1.40143,1.998,10.2862,10.7773,6.6028,30.215
10.7773,1.78853,1.48148,2.09558,11.2918,11.8309,6.46823,31.9147
11.8309,1.91277,1.59404,2.2315,12.3958,12.9876,6.33365,33.7033
12.9876,2.07363,1.74156,2.4057,13.6076,14.2573,6.19907,35.616
14.2573,2.26203,1.91747,2.60659,14.938,15.6512,6.0645,37.6897
15.6512,2.46152,2.1095,2.81354,16.3984,17.1813,5.92992,39.9517
17.1813,2.65795,2.30765,3.00825,18.0016,18.861,5.79534,42.4132
18.861,2.84942,2.51025,3.18859,19.7615,20.705,5.66076,45.0712
20.705,3.04721,2.72774,3.36668,21.6935,22.7292,5.52618,47.9206
22.7292,3.26413,2.97166,3.5566,23.8143,24.9513,5.39161,50.9678
24.9513,3.4998,3.24446,3.75514,26.1425,27.3906,5.25703,54.2319
27.3906,3.73001,3.52653,3.93349,28.6983,30.0685,5.12245,57.7317
30.0685,3.91101,3.78265,4.03937,31.504,33.0081,4.98787,61.4617
33.0081,3.99574,3.9571,4.03438,34.584,36.2352,4.85328,65.3727
36.2352,3.95249,3.83561,4.06937,37.9652,39.7777,4.7187,69.3685
39.7777,3.77825,3.51118,4.04532,41.6768,43.6665,4.58412,73.321
43.6665,3.49712,3.08706,3.90718,45.7513,47.9356,4.44954,77.0992
47.9356,3.14877,2.6139,3.68364,50.2242,52.622,4.31495,80.5964
52.622,2.7745,2.15033,3.39867,55.1343,57.7666,4.18036,83.7451
57.7666,2.40546,1.73213,3.07879,60.5245,63.4141,4.04578,86.5196
63.4141,2.0606,1.37448,2.74673,66.4417,69.6138,3.91119,88.9251
69.6138,1.74932,1.07666,2.42198,72.9374,76.4196,3.7766,90.9857
76.4196,1.47597,0.832919,2.11902,80.0681,83.8907,3.64201,92.735
83.8907,1.24324,0.639554,1.84693,87.8959,92.0923,3.50742,94.211
92.0923,1.05037,0.492268,1.60847,96.4892,101.096,3.37282,95.4542
101.096,0.890357,0.383672,1.39704,105.922,110.979,3.23822,96.5046
110.979,0.751088,0.296475,1.2057,116.278,121.829,3.10363,97.3949
121.829,0.618851,0.212098,1.0256,127.646,133.74,2.96902,98.146
133.74,0.484413,0.122021,0.846805,140.125,146.815,2.83441,98.7649
146.815,0.349535,0.0334959,0.665574,153.824,161.168,2.69981,99.2493
161.168,0.222919,0,0.480804,168.863,176.925,2.56519,99.5988
176.925,0.117819,0,0.29459,185.372,194.222,2.43057,99.8217
194.222,0.0469142,0,0.135574,203.495,213.21,2.29595,99.9396
213.21,0.0118917,0,0.0398244,223.389,234.054,2.16132,99.9865
234.054,0.00156478,0,0.00594174,245.228,256.936,2.02669,99.9984
256.936,6.65495E-05,0,0.000297084,269.203,282.056,1.89204,99.9999
282.056,0,0,0,295.522,309.631,1.75737,100
309.631,0,0,0,324.414,339.902,1.6227,100
339.902,0,0,0,356.13,373.132,1.48801,100
373.132,0,0,0,390.946,409.611,1.35329,100
409.611,0,0,0,429.167,449.657,1.21853,100
449.657,0,0,0,471.125,493.617,1.08373,100
493.617,0,0,0,517.184,541.876,0.948868,100
