Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0140865,0.013106,0.015067,0.393033,0.411798,11.3129,0
0.411798,0.0251528,0.0234006,0.026905,0.431458,0.452057,11.1783,0.0140865
0.452057,0.0372426,0.0346498,0.0398354,0.473639,0.496252,11.0437,0.0392393
0.496252,0.0533151,0.0495728,0.0570574,0.519944,0.544768,10.9091,0.0764819
0.544768,0.0666995,0.0619671,0.0714319,0.570777,0.598027,10.7746,0.129797
0.598027,0.0786749,0.0730476,0.0843022,0.626578,0.656493,10.64,0.196497
0.656493,0.0897283,0.0832203,0.0962363,0.687836,0.720675,10.5054,0.275171
0.720675,0.100633,0.0932167,0.108049,0.755082,0.791132,10.3709,0.3649
0.791132,0.109865,0.101611,0.118119,0.828903,0.868477,10.2363,0.465533
0.868477,0.117468,0.108423,0.126513,0.90994,0.953383,10.1017,0.575398
0.953383,0.123752,0.113966,0.133538,0.9989,1.04659,9.96714,0.692866
1.04659,0.129209,0.118659,0.139759,1.09656,1.14891,9.83257,0.816618
1.14891,0.134211,0.122904,0.145518,1.20376,1.26123,9.698,0.945827
1.26123,0.138773,0.126702,0.150844,1.32145,1.38454,9.56343,1.08004
1.38454,0.143459,0.130549,0.156369,1.45064,1.5199,9.42885,1.21881
1.5199,0.148753,0.134967,0.162539,1.59246,1.66849,9.29428,1.36227
1.66849,0.155615,0.140835,0.170395,1.74815,1.83161,9.15971,1.51102
1.83161,0.164342,0.148416,0.180268,1.91906,2.01068,9.02514,1.66664
2.01068,0.175311,0.158094,0.192528,2.10667,2.20725,8.89056,1.83098
2.20725,0.188724,0.170009,0.207439,2.31263,2.42304,8.75599,2.00629
2.42304,0.204973,0.184596,0.22535,2.53872,2.65993,8.62142,2.19501
2.65993,0.224345,0.202095,0.246595,2.78692,2.91998,8.48684,2.39999
2.91998,0.246876,0.222495,0.271257,3.05939,3.20545,8.35227,2.62433
3.20545,0.272467,0.245701,0.299233,3.35849,3.51883,8.2177,2.87121
