Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0203439,0.0189969,0.0216909,0.393033,0.411798,11.3129,0
0.411798,0.0363389,0.0339509,0.0387269,0.431458,0.452057,11.1783,0.0203439
0.452057,0.053807,0.0502771,0.0573369,0.473639,0.496252,11.0437,0.0566828
0.496252,0.0769797,0.0719412,0.0820182,0.519944,0.544768,10.9091,0.11049
0.544768,0.0961762,0.0898934,0.102459,0.570777,0.598027,10.7746,0.187469
0.598027,0.113302,0.10592,0.120684,0.626578,0.656493,10.64,0.283646
0.656493,0.129077,0.120707,0.137447,0.687836,0.720675,10.5054,0.396948
0.720675,0.144627,0.135269,0.153985,0.755082,0.791132,10.3709,0.526025
0.791132,0.157714,0.147449,0.167979,0.828903,0.868477,10.2363,0.670652
0.868477,0.16851,0.15747,0.17955,0.90994,0.953383,10.1017,0.828366
0.953383,0.177578,0.165804,0.189352,0.9989,1.04659,9.96714,0.996876
1.04659,0.185774,0.173091,0.198457,1.09656,1.14891,9.83257,1.17445
1.14891,0.193742,0.180022,0.207462,1.20376,1.26123,9.698,1.36023
1.26123,0.201672,0.186558,0.216786,1.32145,1.38454,9.56343,1.55397
1.38454,0.210569,0.193653,0.227485,1.45064,1.5199,9.42885,1.75564
1.5199,0.221341,0.202103,0.240579,1.59246,1.66849,9.29428,1.96621
1.66849,0.235582,0.213271,0.257893,1.74815,1.83161,9.15971,2.18755
1.83161,0.253878,0.227633,0.280123,1.91906,2.01068,9.02514,2.42313
2.01068,0.276905,0.24575,0.30806,2.10667,2.20725,8.89056,2.67701
2.20725,0.305038,0.268028,0.342048,2.31263,2.42304,8.75599,2.95392
2.42304,0.338886,0.295012,0.38276,2.53872,2.65993,8.62142,3.25895
2.65993,0.378789,0.326973,0.430605,2.78692,2.91998,8.48684,3.59784
2.91998,0.424631,0.363703,0.485559,3.05939,3.20545,8.35227,3.97663
3.20545,0.476029,0.40537,0.546688,3.35849,3.51883,8.2177,4.40126
