Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0212905,0.0193444,0.0232366,0.393033,0.411798,11.3129,0
0.411798,0.0379418,0.0344692,0.0414144,0.431458,0.452057,11.1783,0.0212905
0.452057,0.0560951,0.0509623,0.0612279,0.473639,0.496252,11.0437,0.0592323
0.496252,0.0803045,0.072964,0.087645,0.519944,0.544768,10.9091,0.115327
0.544768,0.100761,0.091567,0.109955,0.570777,0.598027,10.7746,0.195632
0.598027,0.119117,0.108271,0.129963,0.626578,0.656493,10.64,0.296393
0.656493,0.13618,0.123817,0.148543,0.687836,0.720675,10.5054,0.41551
0.720675,0.153078,0.139195,0.166961,0.755082,0.791132,10.3709,0.55169
0.791132,0.167907,0.15274,0.183074,0.828903,0.868477,10.2363,0.704768
0.868477,0.18051,0.164255,0.196765,0.90994,0.953383,10.1017,0.872675
0.953383,0.191352,0.174214,0.20849,0.9989,1.04659,9.96714,1.05318
1.04659,0.20108,0.183187,0.218973,1.09656,1.14891,9.83257,1.24454
1.14891,0.210325,0.191737,0.228913,1.20376,1.26123,9.698,1.44562
1.26123,0.218958,0.199817,0.238099,1.32145,1.38454,9.56343,1.65594
1.38454,0.227516,0.207848,0.247184,1.45064,1.5199,9.42885,1.8749
1.5199,0.236422,0.216253,0.256591,1.59246,1.66849,9.29428,2.10242
1.66849,0.246579,0.225871,0.267287,1.74815,1.83161,9.15971,2.33884
1.83161,0.258042,0.23676,0.279324,1.91906,2.01068,9.02514,2.58542
2.01068,0.270751,0.248902,0.2926,2.10667,2.20725,8.89056,2.84346
2.20725,0.284543,0.262144,0.306942,2.31263,2.42304,8.75599,3.11421
2.42304,0.299421,0.276521,0.322321,2.53872,2.65993,8.62142,3.39875
2.65993,0.315432,0.292094,0.33877,2.78692,2.91998,8.48684,3.69817
2.91998,0.332267,0.308536,0.355998,3.05939,3.20545,8.35227,4.01361
3.20545,0.349435,0.325352,0.373518,3.35849,3.51883,8.2177,4.34587
3.51883,0.366091,0.341871,0.390311,3.68682,3.86284,8.08313,4.69531
