Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0110257,0.0109163,0.0111351,0.393033,0.411798,11.3129,0
0.411798,0.0196365,0.0194381,0.0198349,0.431458,0.452057,11.1783,0.0110257
0.452057,0.0291505,0.028851,0.02945,0.473639,0.496252,11.0437,0.0306622
0.496252,0.0420935,0.0417468,0.0424402,0.519944,0.544768,10.9091,0.0598127
0.544768,0.0536042,0.0531024,0.054106,0.570777,0.598027,10.7746,0.101906
0.598027,0.064648,0.0638645,0.0654315,0.626578,0.656493,10.64,0.15551
0.656493,0.0757784,0.0746544,0.0769024,0.687836,0.720675,10.5054,0.220158
0.720675,0.0877521,0.0862303,0.0892739,0.755082,0.791132,10.3709,0.295937
0.791132,0.0997612,0.0977474,0.101775,0.828903,0.868477,10.2363,0.383689
0.868477,0.111998,0.10919,0.114806,0.90994,0.953383,10.1017,0.48345
0.953383,0.124931,0.121074,0.128788,0.9989,1.04659,9.96714,0.595448
1.04659,0.139143,0.134029,0.144257,1.09656,1.14891,9.83257,0.720379
1.14891,0.155044,0.148401,0.161687,1.20376,1.26123,9.698,0.859522
1.26123,0.172622,0.164116,0.181128,1.32145,1.38454,9.56343,1.01457
1.38454,0.192127,0.181519,0.202735,1.45064,1.5199,9.42885,1.18719
1.5199,0.213732,0.200779,0.226685,1.59246,1.66849,9.29428,1.37932
1.66849,0.23793,0.222344,0.253516,1.74815,1.83161,9.15971,1.59305
1.83161,0.264634,0.246165,0.283103,1.91906,2.01068,9.02514,1.83098
2.01068,0.293651,0.272172,0.31513,2.10667,2.20725,8.89056,2.09561
2.20725,0.324568,0.299902,0.349234,2.31263,2.42304,8.75599,2.38926
2.42304,0.35713,0.32922,0.38504,2.53872,2.65993,8.62142,2.71383
2.65993,0.391104,0.359846,0.422362,2.78692,2.91998,8.48684,3.07096
2.91998,0.426099,0.391681,0.460517,3.05939,3.20545,8.35227,3.46206
3.20545,0.461646,0.423962,0.49933,3.35849,3.51883,8.2177,3.88816
