Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0157683,0.0153758,0.0161608,0.393033,0.411798,11.3129,0
0.411798,0.0281163,0.0274157,0.0288169,0.431458,0.452057,11.1783,0.0157683
0.452057,0.0416859,0.0407035,0.0426683,0.473639,0.496252,11.0437,0.0438846
0.496252,0.059969,0.0585846,0.0613534,0.519944,0.544768,10.9091,0.0855705
0.544768,0.0758325,0.0743019,0.0773631,0.570777,0.598027,10.7746,0.145539
0.598027,0.0907044,0.0891727,0.0922361,0.626578,0.656493,10.64,0.221372
0.656493,0.105305,0.103848,0.106762,0.687836,0.720675,10.5054,0.312076
0.720675,0.120662,0.119186,0.122138,0.755082,0.791132,10.3709,0.417381
0.791132,0.135466,0.133281,0.137651,0.828903,0.868477,10.2363,0.538043
0.868477,0.150014,0.146608,0.15342,0.90994,0.953383,10.1017,0.673509
0.953383,0.164962,0.159705,0.170218,0.9989,1.04659,9.96714,0.823523
1.04659,0.181169,0.173529,0.188809,1.09656,1.14891,9.83257,0.988485
1.14891,0.199285,0.188751,0.209819,1.20376,1.26123,9.698,1.16965
1.26123,0.219436,0.205471,0.233401,1.32145,1.38454,9.56343,1.36894
1.38454,0.242162,0.224404,0.25992,1.45064,1.5199,9.42885,1.58838
1.5199,0.267848,0.245877,0.289819,1.59246,1.66849,9.29428,1.83054
1.66849,0.297341,0.27083,0.323852,1.74815,1.83161,9.15971,2.09839
1.83161,0.330629,0.299332,0.361926,1.91906,2.01068,9.02514,2.39573
2.01068,0.367556,0.331353,0.403759,2.10667,2.20725,8.89056,2.72635
2.20725,0.407558,0.366092,0.449024,2.31263,2.42304,8.75599,3.09391
2.42304,0.450215,0.403486,0.496944,2.53872,2.65993,8.62142,3.50147
2.65993,0.495071,0.44303,0.547112,2.78692,2.91998,8.48684,3.95168
2.91998,0.54148,0.483994,0.598966,3.05939,3.20545,8.35227,4.44675
3.20545,0.588753,0.525531,0.651975,3.35849,3.51883,8.2177,4.98823
