Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.00570254,0.00528031,0.00612477,0.393033,0.411798,11.3129,0
0.411798,0.0101957,0.00944321,0.0109482,0.431458,0.452057,11.1783,0.00570254
0.452057,0.0151504,0.0140385,0.0162623,0.473639,0.496252,11.0437,0.0158982
0.496252,0.0217752,0.0201775,0.0233729,0.519944,0.544768,10.9091,0.0310486
0.544768,0.0273922,0.0253784,0.029406,0.570777,0.598027,10.7746,0.0528238
0.598027,0.0325883,0.0301822,0.0349944,0.626578,0.656493,10.64,0.080216
0.656493,0.0375846,0.034814,0.0403552,0.687836,0.720675,10.5054,0.112804
0.720675,0.0426899,0.0395301,0.0458497,0.755082,0.791132,10.3709,0.150389
0.791132,0.0472571,0.0437194,0.0507948,0.828903,0.868477,10.2363,0.193079
0.868477,0.0513939,0.0475261,0.0552617,0.90994,0.953383,10.1017,0.240336
0.953383,0.0552484,0.0510331,0.0594637,0.9989,1.04659,9.96714,0.29173
1.04659,0.0589823,0.0544319,0.0635327,1.09656,1.14891,9.83257,0.346978
1.14891,0.0626385,0.0576952,0.0675818,1.20376,1.26123,9.698,0.40596
1.26123,0.0662062,0.0608648,0.0715476,1.32145,1.38454,9.56343,0.468599
1.38454,0.0698789,0.0640693,0.0756885,1.45064,1.5199,9.42885,0.534805
1.5199,0.0737867,0.0674646,0.0801088,1.59246,1.66849,9.29428,0.604684
1.66849,0.0782025,0.0712844,0.0851206,1.74815,1.83161,9.15971,0.678471
1.83161,0.0831423,0.0755322,0.0907524,1.91906,2.01068,9.02514,0.756673
2.01068,0.0886827,0.0802862,0.0970792,2.10667,2.20725,8.89056,0.839815
2.20725,0.0948666,0.0855986,0.104135,2.31263,2.42304,8.75599,0.928498
2.42304,0.101771,0.0915345,0.112008,2.53872,2.65993,8.62142,1.02336
2.65993,0.109404,0.0981246,0.120683,2.78692,2.91998,8.48684,1.12514
2.91998,0.117677,0.105283,0.130071,3.05939,3.20545,8.35227,1.23454
