Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.013652,0.0131018,0.0142022,0.393033,0.411798,11.3129,0
0.411798,0.024315,0.023343,0.025287,0.431458,0.452057,11.1783,0.013652
0.452057,0.0361049,0.0346577,0.0375521,0.473639,0.496252,11.0437,0.037967
0.496252,0.05216,0.0499633,0.0543567,0.519944,0.544768,10.9091,0.0740719
0.544768,0.0664935,0.0634676,0.0695194,0.570777,0.598027,10.7746,0.126232
0.598027,0.0803194,0.076291,0.0843478,0.626578,0.656493,10.64,0.192725
0.656493,0.0943467,0.0891081,0.0995853,0.687836,0.720675,10.5054,0.273045
0.720675,0.109529,0.10276,0.116298,0.755082,0.791132,10.3709,0.367392
0.791132,0.124909,0.116229,0.133589,0.828903,0.868477,10.2363,0.476921
0.868477,0.140792,0.129741,0.151843,0.90994,0.953383,10.1017,0.60183
0.953383,0.157827,0.143776,0.171878,0.9989,1.04659,9.96714,0.742622
1.04659,0.176807,0.159019,0.194595,1.09656,1.14891,9.83257,0.900449
1.14891,0.198305,0.175945,0.220665,1.20376,1.26123,9.698,1.07726
1.26123,0.222385,0.194574,0.250196,1.32145,1.38454,9.56343,1.27556
1.38454,0.249422,0.215261,0.283583,1.45064,1.5199,9.42885,1.49795
1.5199,0.279686,0.238245,0.321127,1.59246,1.66849,9.29428,1.74737
1.66849,0.313844,0.264196,0.363492,1.74815,1.83161,9.15971,2.02705
1.83161,0.351837,0.293086,0.410588,1.91906,2.01068,9.02514,2.3409
2.01068,0.393473,0.324943,0.462003,2.10667,2.20725,8.89056,2.69274
2.20725,0.438252,0.359324,0.51718,2.31263,2.42304,8.75599,3.08621
2.42304,0.485843,0.396325,0.575361,2.53872,2.65993,8.62142,3.52446
2.65993,0.535922,0.435617,0.636227,2.78692,2.91998,8.48684,4.0103
2.91998,0.587987,0.477037,0.698937,3.05939,3.20545,8.35227,4.54623
3.20545,0.641446,0.520215,0.762677,3.35849,3.51883,8.2177,5.13421
