Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0136451,0.012584,0.0147062,0.393033,0.411798,11.3129,0
0.411798,0.0243364,0.0224449,0.0262279,0.431458,0.452057,11.1783,0.0136451
0.452057,0.0360492,0.0332539,0.0388445,0.473639,0.496252,11.0437,0.0379815
0.496252,0.0517368,0.0477024,0.0557712,0.519944,0.544768,10.9091,0.0740307
0.544768,0.0650925,0.059942,0.070243,0.570777,0.598027,10.7746,0.125767
0.598027,0.077307,0.0711453,0.0834687,0.626578,0.656493,10.64,0.19086
0.656493,0.0889215,0.0817114,0.0961316,0.687836,0.720675,10.5054,0.268167
0.720675,0.100744,0.0924688,0.109019,0.755082,0.791132,10.3709,0.357088
0.791132,0.111476,0.102138,0.120814,0.828903,0.868477,10.2363,0.457832
0.868477,0.121186,0.110817,0.131555,0.90994,0.953383,10.1017,0.569308
0.953383,0.13025,0.118833,0.141667,0.9989,1.04659,9.96714,0.690494
1.04659,0.139211,0.126688,0.151734,1.09656,1.14891,9.83257,0.820744
1.14891,0.148483,0.134772,0.162194,1.20376,1.26123,9.698,0.959955
1.26123,0.158045,0.143062,0.173028,1.32145,1.38454,9.56343,1.10844
1.38454,0.168328,0.151973,0.184683,1.45064,1.5199,9.42885,1.26648
1.5199,0.179686,0.161855,0.197517,1.59246,1.66849,9.29428,1.43481
1.66849,0.192903,0.173446,0.21236,1.74815,1.83161,9.15971,1.6145
1.83161,0.208102,0.186829,0.229375,1.91906,2.01068,9.02514,1.8074
2.01068,0.225384,0.202182,0.248586,2.10667,2.20725,8.89056,2.0155
2.20725,0.244659,0.219304,0.270014,2.31263,2.42304,8.75599,2.24089
2.42304,0.26602,0.238413,0.293627,2.53872,2.65993,8.62142,2.48554
2.65993,0.289531,0.259484,0.319578,2.78692,2.91998,8.48684,2.75156
2.91998,0.315023,0.282358,0.347688,3.05939,3.20545,8.35227,3.0411
3.20545,0.342221,0.30674,0.377702,3.35849,3.51883,8.2177,3.35612
