Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
541.876,3.01283,2.96459,3.06107,567.746,594.852,0.813905,85.2738
594.852,2.58815,2.48339,2.69291,623.252,653.008,0.678786,88.2866
653.008,2.13225,1.95432,2.31018,684.184,716.849,0.543393,90.8748
716.849,1.74019,1.52529,1.95509,751.073,786.932,0.407456,93.007
786.932,1.45128,1.23901,1.66355,824.502,863.866,0.270152,94.7472
863.866,1.23467,1.03557,1.43377,905.109,948.322,0.127128,96.1985
948.322,1.03494,0.830208,1.23967,993.595,1041.03,0.0666397,97.4332
1041.03,0.798544,0.606108,0.99098,1090.73,1142.81,-0.125299,98.4681
1142.81,0.483369,0.355202,0.611536,1197.37,1254.54,-0.259872,99.2667
1254.54,0.204339,0.152126,0.256552,1314.44,1377.19,-0.394443,99.75
1377.19,0.0419443,0.0316741,0.0522145,1442.94,1511.83,-0.529012,99.9544
1511.83,0.00367422,0.00278977,0.00455867,1584.01,1659.63,-0.663579,99.9963
1659.63,0,0,0,1738.86,1821.88,-0.798145,100
1821.88,0,0,0,1908.86,2000,-0.932714,100
