Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0218276,0.0202139,0.0234413,0.393033,0.411798,11.3129,0
0.411798,0.0389716,0.0361019,0.0418413,0.431458,0.452057,11.1783,0.0218276
0.452057,0.0578469,0.0535633,0.0621305,0.473639,0.496252,11.0437,0.0607992
0.496252,0.0832177,0.0770113,0.0894241,0.519944,0.544768,10.9091,0.118646
0.544768,0.105,0.097102,0.112898,0.570777,0.598027,10.7746,0.201864
0.598027,0.125244,0.115734,0.134754,0.626578,0.656493,10.64,0.306864
0.656493,0.144789,0.133624,0.155954,0.687836,0.720675,10.5054,0.432108
0.720675,0.164898,0.151982,0.177814,0.755082,0.791132,10.3709,0.576897
0.791132,0.183348,0.168708,0.197988,0.828903,0.868477,10.2363,0.741795
0.868477,0.200351,0.183979,0.216723,0.90994,0.953383,10.1017,0.925142
0.953383,0.216381,0.198226,0.234536,0.9989,1.04659,9.96714,1.12549
1.04659,0.232071,0.212037,0.252105,1.09656,1.14891,9.83257,1.34187
1.14891,0.247749,0.225667,0.269831,1.20376,1.26123,9.698,1.57395
1.26123,0.263265,0.239052,0.287478,1.32145,1.38454,9.56343,1.82169
1.38454,0.279207,0.252698,0.305716,1.45064,1.5199,9.42885,2.08496
1.5199,0.295988,0.266994,0.324982,1.59246,1.66849,9.29428,2.36417
1.66849,0.314741,0.283002,0.34648,1.74815,1.83161,9.15971,2.66015
1.83161,0.335644,0.30084,0.370448,1.91906,2.01068,9.02514,2.97489
2.01068,0.359101,0.321006,0.397196,2.10667,2.20725,8.89056,3.31054
2.20725,0.385298,0.343574,0.427022,2.31263,2.42304,8.75599,3.66964
2.42304,0.414745,0.36901,0.46048,2.53872,2.65993,8.62142,4.05494
2.65993,0.447814,0.397762,0.497866,2.78692,2.91998,8.48684,4.46968
2.91998,0.484638,0.429776,0.5395,3.05939,3.20545,8.35227,4.9175
3.20545,0.525343,0.465357,0.585329,3.35849,3.51883,8.2177,5.40213
3.51883,0.569572,0.503798,0.635346,3.68682,3.86284,8.08313,5.92748
