Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0,0,0,0.393033,0.411798,11.3129,0
0.411798,0,0,0,0.431458,0.452057,11.1783,0
0.452057,0,0,0,0.473639,0.496252,11.0437,0
0.496252,0,0,0,0.519944,0.544768,10.9091,0
0.544768,0,0,0,0.570777,0.598027,10.7746,0
0.598027,0,0,0,0.626578,0.656493,10.64,0
0.656493,0,0,0,0.687836,0.720675,10.5054,0
0.720675,0.000254102,0.000246749,0.000261455,0.755082,0.791132,10.3709,0
0.791132,0.00339224,0.00329362,0.00349086,0.828903,0.868477,10.2363,0.000254102
0.868477,0.01024,0.00995628,0.0105237,0.90994,0.953383,10.1017,0.00364634
0.953383,0.0164382,0.0159931,0.0168833,0.9989,1.04659,9.96714,0.0138863
1.04659,0.0211479,0.0205917,0.0217041,1.09656,1.14891,9.83257,0.0303245
1.14891,0.0243213,0.0237241,0.0249185,1.20376,1.26123,9.698,0.0514724
1.26123,0.0259139,0.0253148,0.026513,1.32145,1.38454,9.56343,0.0757938
1.38454,0.0260272,0.0254802,0.0265742,1.45064,1.5199,9.42885,0.101708
1.5199,0.0248597,0.0243886,0.0253308,1.59246,1.66849,9.29428,0.127735
1.66849,0.0227088,0.0223437,0.0230739,1.74815,1.83161,9.15971,0.152595
1.83161,0.0199105,0.019642,0.020179,1.91906,2.01068,9.02514,0.175303
2.01068,0.0168177,0.0166104,0.017025,2.10667,2.20725,8.89056,0.195214
2.20725,0.0137496,0.0135326,0.0139666,2.31263,2.42304,8.75599,0.212032
2.42304,0.0109739,0.0106897,0.0112581,2.53872,2.65993,8.62142,0.225781
2.65993,0.00868195,0.00829695,0.00906695,2.78692,2.91998,8.48684,0.236755
2.91998,0.00698334,0.00648703,0.00747965,3.05939,3.20545,8.35227,0.245437
3.20545,0.0059055,0.00529526,0.00651574,3.35849,3.51883,8.2177,0.25242
3.51883,0.00540722,0.00468489,0.00612955,3.68682,3.86284,8.08313,0.258326
3.86284,0.00540147,0.00457108,0.00623186,4.04726,4.24049,7.94855,0.263733
