Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.012303,0.0117569,0.0128491,0.393033,0.411798,11.3129,0
0.411798,0.0219626,0.0209857,0.0229395,0.431458,0.452057,11.1783,0.012303
0.452057,0.0326148,0.0311807,0.0340489,0.473639,0.496252,11.0437,0.0342656
0.496252,0.0469682,0.0449004,0.049036,0.519944,0.544768,10.9091,0.0668804
0.544768,0.0593718,0.0566826,0.062061,0.570777,0.598027,10.7746,0.113849
0.598027,0.0709764,0.0677264,0.0742264,0.626578,0.656493,10.64,0.17322
0.656493,0.0822669,0.0784405,0.0860933,0.687836,0.720675,10.5054,0.244197
0.720675,0.0939559,0.0895042,0.0984076,0.755082,0.791132,10.3709,0.326464
0.791132,0.104809,0.0996655,0.109952,0.828903,0.868477,10.2363,0.42042
0.868477,0.114936,0.109097,0.120775,0.90994,0.953383,10.1017,0.525229
0.953383,0.124599,0.118054,0.131144,0.9989,1.04659,9.96714,0.640165
1.04659,0.134105,0.126782,0.141428,1.09656,1.14891,9.83257,0.764764
1.14891,0.143592,0.13538,0.151804,1.20376,1.26123,9.698,0.898869
1.26123,0.152914,0.143791,0.162037,1.32145,1.38454,9.56343,1.04246
1.38454,0.16235,0.152206,0.172494,1.45064,1.5199,9.42885,1.19537
1.5199,0.172042,0.16081,0.183274,1.59246,1.66849,9.29428,1.35772
1.66849,0.182534,0.170093,0.194975,1.74815,1.83161,9.15971,1.52977
1.83161,0.193825,0.180114,0.207536,1.91906,2.01068,9.02514,1.7123
2.01068,0.206051,0.190981,0.221121,2.10667,2.20725,8.89056,1.90613
2.20725,0.219241,0.202706,0.235776,2.31263,2.42304,8.75599,2.11218
2.42304,0.233566,0.215493,0.251639,2.53872,2.65993,8.62142,2.33142
2.65993,0.249145,0.229508,0.268782,2.78692,2.91998,8.48684,2.56498
2.91998,0.265911,0.244625,0.287197,3.05939,3.20545,8.35227,2.81413
3.20545,0.283901,0.260869,0.306933,3.35849,3.51883,8.2177,3.08004
