Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0135221,0.0128359,0.0142083,0.393033,0.411798,11.3129,0
0.411798,0.0241804,0.0229643,0.0253965,0.431458,0.452057,11.1783,0.0135221
0.452057,0.0359352,0.034132,0.0377384,0.473639,0.496252,11.0437,0.0377025
0.496252,0.0516766,0.049055,0.0542983,0.519944,0.544768,10.9091,0.0736377
0.544768,0.0650585,0.0617002,0.0684168,0.570777,0.598027,10.7746,0.125314
0.598027,0.0774438,0.073399,0.0814886,0.626578,0.656493,10.64,0.190373
0.656493,0.0893081,0.0845245,0.0940917,0.687836,0.720675,10.5054,0.267817
0.720675,0.101352,0.0958169,0.106887,0.755082,0.791132,10.3709,0.357125
0.791132,0.112014,0.105754,0.118274,0.828903,0.868477,10.2363,0.458477
0.868477,0.121447,0.11445,0.128444,0.90994,0.953383,10.1017,0.570491
0.953383,0.129842,0.122075,0.137609,0.9989,1.04659,9.96714,0.691938
1.04659,0.137389,0.128812,0.145966,1.09656,1.14891,9.83257,0.82178
1.14891,0.144056,0.134643,0.153469,1.20376,1.26123,9.698,0.959169
1.26123,0.149665,0.139412,0.159918,1.32145,1.38454,9.56343,1.10322
1.38454,0.154541,0.143402,0.16568,1.45064,1.5199,9.42885,1.25289
1.5199,0.15883,0.146757,0.170903,1.59246,1.66849,9.29428,1.40743
1.66849,0.163097,0.150041,0.176153,1.74815,1.83161,9.15971,1.56626
1.83161,0.167354,0.153227,0.181481,1.91906,2.01068,9.02514,1.72936
2.01068,0.171909,0.156678,0.18714,2.10667,2.20725,8.89056,1.89671
2.20725,0.177024,0.160619,0.193429,2.31263,2.42304,8.75599,2.06862
2.42304,0.18315,0.165473,0.200827,2.53872,2.65993,8.62142,2.24564
2.65993,0.19065,0.171565,0.209735,2.78692,2.91998,8.48684,2.42879
2.91998,0.199823,0.179188,0.220458,3.05939,3.20545,8.35227,2.61944
3.20545,0.211162,0.18888,0.233444,3.35849,3.51883,8.2177,2.81927
