Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.0204981,0.0190785,0.0219177,0.393033,0.411798,11.3129,0
0.411798,0.0365975,0.0340747,0.0391203,0.431458,0.452057,11.1783,0.0204981
0.452057,0.0543369,0.0505841,0.0580897,0.473639,0.496252,11.0437,0.0570956
0.496252,0.0782079,0.0727808,0.083635,0.519944,0.544768,10.9091,0.111433
0.544768,0.0987493,0.0918054,0.105693,0.570777,0.598027,10.7746,0.18964
0.598027,0.117877,0.10949,0.126264,0.626578,0.656493,10.64,0.28839
0.656493,0.136365,0.12652,0.14621,0.687836,0.720675,10.5054,0.406267
0.720675,0.155391,0.144025,0.166757,0.755082,0.791132,10.3709,0.542632
0.791132,0.172845,0.159931,0.185759,0.828903,0.868477,10.2363,0.698023
0.868477,0.188882,0.174406,0.203358,0.90994,0.953383,10.1017,0.870868
0.953383,0.203872,0.187797,0.219947,0.9989,1.04659,9.96714,1.05975
1.04659,0.218318,0.200531,0.236105,1.09656,1.14891,9.83257,1.26362
1.14891,0.232434,0.212822,0.252046,1.20376,1.26123,9.698,1.48194
1.26123,0.245997,0.224414,0.26758,1.32145,1.38454,9.56343,1.71437
1.38454,0.259483,0.235789,0.283177,1.45064,1.5199,9.42885,1.96037
1.5199,0.273206,0.247227,0.299185,1.59246,1.66849,9.29428,2.21985
1.66849,0.288181,0.2597,0.316662,1.74815,1.83161,9.15971,2.49306
1.83161,0.304569,0.273323,0.335815,1.91906,2.01068,9.02514,2.78124
2.01068,0.322793,0.288499,0.357087,2.10667,2.20725,8.89056,3.08581
2.20725,0.343126,0.305542,0.38071,2.31263,2.42304,8.75599,3.4086
2.42304,0.366173,0.324912,0.407434,2.53872,2.65993,8.62142,3.75173
2.65993,0.392444,0.347152,0.437736,2.78692,2.91998,8.48684,4.1179
2.91998,0.422256,0.372619,0.471893,3.05939,3.20545,8.35227,4.51035
3.20545,0.45593,0.401551,0.510309,3.35849,3.51883,8.2177,4.9326
3.51883,0.493328,0.433739,0.552917,3.68682,3.86284,8.08313,5.38853
3.86284,0.534625,0.469711,0.599539,4.04726,4.24049,7.94855,5.88186
4.24049,0.579772,0.509081,0.650463,4.44294,4.65506,7.81398,6.41648
4.65506,0.629023,0.552224,0.705822,4.87731,5.11017,7.6794,6.99626
5.11017,0.682319,0.599036,0.765602,5.35414,5.60976,7.54483,7.62528
5.60976,0.739637,0.649716,0.829558,5.87759,6.1582,7.41025,8.3076
6.1582,0.801139,0.704349,0.897929,6.45221,6.76025,7.27568,9.04724
6.76025,0.867265,0.763383,0.971147,7.08301,7.42117,7.14111,9.84837
7.42117,0.93935,0.82795,1.05075,7.77547,8.14669,7.00653,10.7156
8.14669,1.01856,0.899426,1.13769,8.53563,8.94315,6.87196,11.655
8.94315,1.10667,0.979669,1.23367,9.37012,9.81748,6.73738,12.6735
9.81748,1.20484,1.06985,1.33983,10.2862,10.7773,6.6028,13.7802
10.7773,1.31511,1.17223,1.45799,11.2918,11.8309,6.46823,14.9851
11.8309,1.43858,1.28789,1.58927,12.3958,12.9876,6.33365,16.3002
12.9876,1.57547,1.41815,1.73279,13.6076,14.2573,6.19907,17.7388
14.2573,1.72331,1.56066,1.88596,14.938,15.6512,6.0645,19.3142
15.6512,1.87784,1.71223,2.04345,16.3984,17.1813,5.92992,21.0375
17.1813,2.03589,1.86942,2.20236,18.0016,18.861,5.79534,22.9154
18.861,2.19651,2.03227,2.36075,19.7615,20.705,5.66076,24.9513
20.705,2.36277,2.20242,2.52312,21.6935,22.7292,5.52618,27.1478
22.7292,2.53674,2.38085,2.69263,23.8143,24.9513,5.39161,29.5105
24.9513,2.71682,2.56706,2.86658,26.1425,27.3906,5.25703,32.0473
27.3906,2.89455,2.75143,3.03767,28.6983,30.0685,5.12245,34.7641
30.0685,3.05607,2.9189,3.19324,31.504,33.0081,4.98787,37.6586
33.0081,3.18794,3.05718,3.3187,34.584,36.2352,4.85328,40.7147
36.2352,3.28101,3.15596,3.40606,37.9652,39.7777,4.7187,43.9027
39.7777,3.33408,3.21163,3.45653,41.6768,43.6665,4.58412,47.1837
43.6665,3.35162,3.23619,3.46705,45.7513,47.9356,4.44954,50.5177
47.9356,3.34008,3.21954,3.46062,50.2242,52.622,4.31495,53.8694
52.622,3.30517,3.18611,3.42423,55.1343,57.7666,4.18036,57.2094
57.7666,3.2504,3.12791,3.37289,60.5245,63.4141,4.04578,60.5146
63.4141,3.17961,3.05411,3.30511,66.4417,69.6138,3.91119,63.765
69.6138,3.09901,2.97325,3.22477,72.9374,76.4196,3.7766,66.9446
76.4196,3.01751,2.89535,3.13967,80.0681,83.8907,3.64201,70.0436
83.8907,2.94341,2.83193,3.05489,87.8959,92.0923,3.50742,73.0611
92.0923,2.87775,2.78369,2.97181,96.4892,101.096,3.37282,76.0046
101.096,2.80884,2.73798,2.8797,105.922,110.979,3.23822,78.8823
110.979,2.71363,2.66927,2.75799,116.278,121.829,3.10363,81.6911
121.829,2.56994,2.55109,2.58879,127.646,133.74,2.96902,84.4048
133.74,2.36923,2.35941,2.37905,140.125,146.815,2.83441,86.9747
146.815,2.12558,2.09833,2.15283,153.824,161.168,2.69981,89.3439
161.168,1.86519,1.81044,1.91994,168.863,176.925,2.56519,91.4695
176.925,1.60755,1.50567,1.70943,185.372,194.222,2.43057,93.3347
194.222,1.35438,1.18488,1.52388,203.495,213.21,2.29595,94.9423
213.21,1.09076,0.847286,1.33423,223.389,234.054,2.16132,96.2967
234.054,0.803212,0.493519,1.11291,245.228,256.936,2.02669,97.3874
256.936,0.502088,0.142669,0.861507,269.203,282.056,1.89204,98.1906
282.056,0.259683,0,0.617439,295.522,309.631,1.75737,98.6927
309.631,0.126482,0,0.4452,324.414,339.902,1.6227,98.9524
339.902,0.0894217,0,0.386969,356.13,373.132,1.48801,99.0789
373.132,0.101841,0,0.454385,390.946,409.611,1.35329,99.1683
