Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.025297,0.0122808,0.0383132,0.393033,0.411798,11.3129,0
0.411798,0.0450669,0.0219119,0.0682219,0.431458,0.452057,11.1783,0.025297
0.452057,0.0668274,0.0324931,0.101162,0.473639,0.496252,11.0437,0.0703639
0.496252,0.096274,0.0467492,0.145799,0.519944,0.544768,10.9091,0.137191
0.544768,0.122127,0.0590092,0.185245,0.570777,0.598027,10.7746,0.233465
0.598027,0.146514,0.0704148,0.222613,0.626578,0.656493,10.64,0.355592
0.656493,0.170594,0.0814535,0.259735,0.687836,0.720675,10.5054,0.502106
0.720675,0.195955,0.0929121,0.298998,0.755082,0.791132,10.3709,0.6727
0.791132,0.22061,0.103604,0.337616,0.828903,0.868477,10.2363,0.868656
0.868477,0.244776,0.113661,0.375891,0.90994,0.953383,10.1017,1.08927
0.953383,0.269276,0.123428,0.415124,0.9989,1.04659,9.96714,1.33404
1.04659,0.295135,0.133403,0.456867,1.09656,1.14891,9.83257,1.60332
1.14891,0.323061,0.143892,0.50223,1.20376,1.26123,9.698,1.89845
1.26123,0.352832,0.154812,0.550852,1.32145,1.38454,9.56343,2.22151
1.38454,0.384846,0.166543,0.603149,1.45064,1.5199,9.42885,2.57435
1.5199,0.4193,0.17921,0.65939,1.59246,1.66849,9.29428,2.95919
1.66849,0.456966,0.193477,0.720456,1.74815,1.83161,9.15971,3.37849
1.83161,0.497387,0.209239,0.785535,1.91906,2.01068,9.02514,3.83546
2.01068,0.539896,0.226489,0.853303,2.10667,2.20725,8.89056,4.33285
2.20725,0.583495,0.244861,0.922129,2.31263,2.42304,8.75599,4.87274
2.42304,0.627493,0.264295,0.990691,2.53872,2.65993,8.62142,5.45624
2.65993,0.671252,0.284531,1.05797,2.78692,2.91998,8.48684,6.08373
2.91998,0.713819,0.305229,1.12241,3.05939,3.20545,8.35227,6.75498
3.20545,0.754172,0.3261,1.18224,3.35849,3.51883,8.2177,7.4688
3.51883,0.790973,0.346645,1.2353,3.68682,3.86284,8.08313,8.22297
3.86284,0.823519,0.36676,1.28028,4.04726,4.24049,7.94855,9.01395
4.24049,0.851051,0.386332,1.31577,4.44294,4.65506,7.81398,9.83747
4.65506,0.873174,0.405788,1.34056,4.87731,5.11017,7.6794,10.6885
5.11017,0.889293,0.425112,1.35347,5.35414,5.60976,7.54483,11.5617
5.60976,0.899583,0.444546,1.35462,5.87759,6.1582,7.41025,12.451
6.1582,0.905192,0.464567,1.34582,6.45221,6.76025,7.27568,13.3506
6.76025,0.908036,0.485784,1.33029,7.08301,7.42117,7.14111,14.2558
7.42117,0.910524,0.509521,1.31153,7.77547,8.14669,7.00653,15.1638
8.14669,0.914266,0.536405,1.29213,8.53563,8.94315,6.87196,16.0743
8.94315,0.921975,0.567836,1.27611,9.37012,9.81748,6.73738,16.9886
9.81748,0.936558,0.604037,1.26908,10.2862,10.7773,6.6028,17.9106
10.7773,0.963278,0.646879,1.27968,11.2918,11.8309,6.46823,18.8471
11.8309,1.00495,0.696772,1.31313,12.3958,12.9876,6.33365,19.8104
12.9876,1.06106,0.753571,1.36855,13.6076,14.2573,6.19907,20.8153
14.2573,1.12509,0.815428,1.43475,14.938,15.6512,6.0645,21.8764
15.6512,1.18803,0.879614,1.49645,16.3984,17.1813,5.92992,23.0015
17.1813,1.24537,0.945718,1.54502,18.0016,18.861,5.79534,24.1895
18.861,1.29932,1.01473,1.58391,19.7615,20.705,5.66076,25.4349
20.705,1.36113,1.09173,1.63053,21.6935,22.7292,5.52618,26.7342
22.7292,1.44163,1.18057,1.70269,23.8143,24.9513,5.39161,28.0953
24.9513,1.54678,1.28348,1.81008,26.1425,27.3906,5.25703,29.537
27.3906,1.67306,1.39927,1.94685,28.6983,30.0685,5.12245,31.0838
30.0685,1.80893,1.52268,2.09518,31.504,33.0081,4.98787,32.7568
33.0081,1.9425,1.64965,2.23535,34.584,36.2352,4.85328,34.5658
36.2352,2.06634,1.77659,2.35609,37.9652,39.7777,4.7187,36.5083
39.7777,2.18239,1.9057,2.45908,41.6768,43.6665,4.58412,38.5746
43.6665,2.29891,2.0403,2.55752,45.7513,47.9356,4.44954,40.757
47.9356,2.42502,2.18385,2.66619,50.2242,52.622,4.31495,43.0559
52.622,2.56645,2.33796,2.79494,55.1343,57.7666,4.18036,45.4809
57.7666,2.72265,2.50409,2.94121,60.5245,63.4141,4.04578,48.0474
63.4141,2.88915,2.68094,3.09736,66.4417,69.6138,3.91119,50.77
69.6138,3.06097,2.87183,3.25011,72.9374,76.4196,3.7766,53.6592
76.4196,3.23472,3.07792,3.39152,80.0681,83.8907,3.64201,56.7201
83.8907,3.40722,3.296,3.51844,87.8959,92.0923,3.50742,59.9549
92.0923,3.57167,3.456,3.68734,96.4892,101.096,3.37282,63.3621
101.096,3.71335,3.50537,3.92133,105.922,110.979,3.23822,66.9337
110.979,3.80965,3.45916,4.16014,116.278,121.829,3.10363,70.6471
121.829,3.83891,3.32619,4.35163,127.646,133.74,2.96902,74.4567
133.74,3.78002,3.09221,4.46783,140.125,146.815,2.83441,78.2957
146.815,3.62062,2.73085,4.51039,153.824,161.168,2.69981,82.0757
161.168,3.3525,2.22491,4.48009,168.863,176.925,2.56519,85.6963
176.925,2.96852,1.58028,4.35676,185.372,194.222,2.43057,89.0488
194.222,2.48055,0.874582,4.08652,203.495,213.21,2.29595,92.0173
213.21,1.91929,0.228291,3.61029,223.389,234.054,2.16132,94.4979
234.054,1.32178,0,2.9329,245.228,256.936,2.02669,96.4172
256.936,0.779268,0,2.10283,269.203,282.056,1.89204,97.7389
282.056,0.387903,0,1.31653,295.522,309.631,1.75737,98.5182
309.631,0.184874,0,0.759003,324.414,339.902,1.6227,98.9061
339.902,0.111936,0,0.496009,356.13,373.132,1.48801,99.091
373.132,0.105731,0,0.471993,390.946,409.611,1.35329,99.2029
409.611,0.133317,0,0.595141,429.167,449.657,1.21853,99.3087
