Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.0292365,0.0232286,0.0352444,0.393033,0.411798,11.3129,0
0.411798,0.0520886,0.0414151,0.0627621,0.431458,0.452057,11.1783,0.0292365
0.452057,0.0772983,0.0614488,0.0931478,0.473639,0.496252,11.0437,0.0813251
0.496252,0.111493,0.0885622,0.134424,0.519944,0.544768,10.9091,0.158623
0.544768,0.141663,0.112273,0.171053,0.570777,0.598027,10.7746,0.270116
0.598027,0.17033,0.134653,0.206007,0.626578,0.656493,10.64,0.411779
0.656493,0.198851,0.156698,0.241004,0.687836,0.720675,10.5054,0.582109
0.720675,0.229112,0.179888,0.278336,0.755082,0.791132,10.3709,0.78096
0.791132,0.258801,0.202186,0.315416,0.828903,0.868477,10.2363,1.01007
0.868477,0.288243,0.223864,0.352622,0.90994,0.953383,10.1017,1.26887
0.953383,0.31841,0.245574,0.391246,0.9989,1.04659,9.96714,1.55712
1.04659,0.350512,0.268205,0.432819,1.09656,1.14891,9.83257,1.87553
1.14891,0.38537,0.292205,0.478535,1.20376,1.26123,9.698,2.22604
1.26123,0.422763,0.317516,0.52801,1.32145,1.38454,9.56343,2.61141
1.38454,0.463187,0.344441,0.581933,1.45064,1.5199,9.42885,3.03417
1.5199,0.506914,0.373246,0.640582,1.59246,1.66849,9.29428,3.49736
1.66849,0.554991,0.404769,0.705213,1.74815,1.83161,9.15971,4.00427
1.83161,0.607086,0.438876,0.775296,1.91906,2.01068,9.02514,4.55926
2.01068,0.662656,0.475154,0.850158,2.10667,2.20725,8.89056,5.16635
2.20725,0.720701,0.513026,0.928376,2.31263,2.42304,8.75599,5.829
2.42304,0.780549,0.552141,1.00896,2.53872,2.65993,8.62142,6.54971
2.65993,0.841577,0.592033,1.09112,2.78692,2.91998,8.48684,7.33026
2.91998,0.902819,0.632272,1.17337,3.05939,3.20545,8.35227,8.17183
3.20545,0.963177,0.672171,1.25418,3.35849,3.51883,8.2177,9.07465
3.51883,1.02109,0.710816,1.33136,3.68682,3.86284,8.08313,10.0378
3.86284,1.07571,0.747947,1.40347,4.04726,4.24049,7.94855,11.0589
4.24049,1.12632,0.783094,1.46955,4.44294,4.65506,7.81398,12.1346
4.65506,1.17276,0.816768,1.52875,4.87731,5.11017,7.6794,13.2609
5.11017,1.21468,0.848944,1.58042,5.35414,5.60976,7.54483,14.4337
5.60976,1.25226,0.880051,1.62447,5.87759,6.1582,7.41025,15.6484
6.1582,1.28669,0.910906,1.66247,6.45221,6.76025,7.27568,16.9006
6.76025,1.32025,0.943147,1.69735,7.08301,7.42117,7.14111,18.1873
7.42117,1.35616,0.979471,1.73285,7.77547,8.14669,7.00653,19.5076
8.14669,1.39709,1.02207,1.77211,8.53563,8.94315,6.87196,20.8637
8.94315,1.44634,1.07391,1.81877,9.37012,9.81748,6.73738,22.2608
9.81748,1.50744,1.13759,1.87729,10.2862,10.7773,6.6028,23.7072
10.7773,1.58578,1.21725,1.95431,11.2918,11.8309,6.46823,25.2146
11.8309,1.68491,1.31591,2.05391,12.3958,12.9876,6.33365,26.8004
12.9876,1.80387,1.43382,2.17392,13.6076,14.2573,6.19907,28.4853
14.2573,1.93405,1.5655,2.3026,14.938,15.6512,6.0645,30.2892
15.6512,2.06228,1.70211,2.42245,16.3984,17.1813,5.92992,32.2232
17.1813,2.17882,1.83551,2.52213,18.0016,18.861,5.79534,34.2855
18.861,2.28286,1.9635,2.60222,19.7615,20.705,5.66076,36.4643
20.705,2.38437,2.09132,2.67742,21.6935,22.7292,5.52618,38.7472
22.7292,2.49477,2.226,2.76354,23.8143,24.9513,5.39161,41.1316
24.9513,2.6186,2.3694,2.8678,26.1425,27.3906,5.25703,43.6263
27.3906,2.74764,2.51689,2.97839,28.6983,30.0685,5.12245,46.2449
30.0685,2.86362,2.65558,3.07166,31.504,33.0081,4.98787,48.9926
33.0081,2.9487,2.77374,3.12366,34.584,36.2352,4.85328,51.8562
36.2352,2.99417,2.86551,3.12283,37.9652,39.7777,4.7187,54.8049
39.7777,3.00603,2.93515,3.07691,41.6768,43.6665,4.58412,57.7991
43.6665,2.99998,2.9846,3.01536,45.7513,47.9356,4.44954,60.8051
47.9356,2.9917,2.91966,3.06374,50.2242,52.622,4.31495,63.8051
52.622,2.98858,2.83884,3.13832,55.1343,57.7666,4.18036,66.7968
57.7666,2.98526,2.7524,3.21812,60.5245,63.4141,4.04578,69.7853
63.4141,2.96792,2.64453,3.29131,66.4417,69.6138,3.91119,72.7706
69.6138,2.92208,2.50111,3.34305,72.9374,76.4196,3.7766,75.7385
76.4196,2.84018,2.31839,3.36197,80.0681,83.8907,3.64201,78.6606
83.8907,2.72458,2.10709,3.34207,87.8959,92.0923,3.50742,81.5008
92.0923,2.58493,1.88885,3.28101,96.4892,101.096,3.37282,84.2254
101.096,2.42956,1.67774,3.18138,105.922,110.979,3.23822,86.8103
110.979,2.26016,1.46879,3.05153,116.278,121.829,3.10363,89.2399
121.829,2.06857,1.23767,2.89947,127.646,133.74,2.96902,91.5
133.74,1.83745,0.947133,2.72777,140.125,146.815,2.83441,93.5686
146.815,1.5556,0.591531,2.51967,153.824,161.168,2.69981,95.406
161.168,1.22541,0.215647,2.23517,168.863,176.925,2.56519,96.9616
176.925,0.866479,0,1.86394,185.372,194.222,2.43057,98.187
194.222,0.530507,0,1.39565,203.495,213.21,2.29595,99.0535
213.21,0.270617,0,0.883458,223.389,234.054,2.16132,99.584
234.054,0.109333,0,0.428354,245.228,256.936,2.02669,99.8546
256.936,0.0310177,0,0.133762,269.203,282.056,1.89204,99.964
282.056,0.0047654,0,0.0212701,295.522,309.631,1.75737,99.995
309.631,0.000237701,0,0.00106112,324.414,339.902,1.6227,99.9998
339.902,0,0,0,356.13,373.132,1.48801,100
373.132,0,0,0,390.946,409.611,1.35329,100
409.611,0,0,0,429.167,449.657,1.21853,100
449.657,0,0,0,471.125,493.617,1.08373,100
