Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.0779221,0.068946,0.0868982,0.393033,0.411798,11.3129,0
0.411798,0.138635,0.122691,0.154579,0.431458,0.452057,11.1783,0.0779221
0.452057,0.205862,0.182134,0.22959,0.473639,0.496252,11.0437,0.216557
0.496252,0.297934,0.263362,0.332506,0.519944,0.544768,10.9091,0.422419
0.544768,0.381801,0.336985,0.426617,0.570777,0.598027,10.7746,0.720353
0.598027,0.463536,0.408558,0.518514,0.626578,0.656493,10.64,1.10215
0.656493,0.547209,0.481519,0.612899,0.687836,0.720675,10.5054,1.56569
0.720675,0.637668,0.560032,0.715304,0.755082,0.791132,10.3709,2.1129
0.791132,0.730452,0.64041,0.820494,0.828903,0.868477,10.2363,2.75057
0.868477,0.826169,0.723023,0.929315,0.90994,0.953383,10.1017,3.48102
0.953383,0.92753,0.810359,1.0447,0.9989,1.04659,9.96714,4.30719
1.04659,1.03702,0.905039,1.169,1.09656,1.14891,9.83257,5.23472
1.14891,1.15628,1.00838,1.30418,1.20376,1.26123,9.698,6.27174
1.26123,1.28375,1.11936,1.44814,1.32145,1.38454,9.56343,7.42802
1.38454,1.41927,1.23812,1.60042,1.45064,1.5199,9.42885,8.71177
1.5199,1.56209,1.36371,1.76047,1.59246,1.66849,9.29428,10.131
1.66849,1.71245,1.497,1.9279,1.74815,1.83161,9.15971,11.6931
1.83161,1.86769,1.6353,2.10008,1.91906,2.01068,9.02514,13.4056
2.01068,2.02454,1.77532,2.27376,2.10667,2.20725,8.89056,15.2733
2.20725,2.17999,1.91396,2.44602,2.31263,2.42304,8.75599,17.2978
2.42304,2.33205,2.04962,2.61448,2.53872,2.65993,8.62142,19.4778
2.65993,2.47935,2.18028,2.77842,2.78692,2.91998,8.48684,21.8098
2.91998,2.61933,2.30365,2.93501,3.05939,3.20545,8.35227,24.2892
3.20545,2.7488,2.41612,3.08148,3.35849,3.51883,8.2177,26.9085
3.51883,2.8636,2.51447,3.21273,3.68682,3.86284,8.08313,29.6573
3.86284,2.95949,2.59476,3.32422,4.04726,4.24049,7.94855,32.5209
4.24049,3.03101,2.65329,3.40873,4.44294,4.65506,7.81398,35.4804
4.65506,3.07153,2.6843,3.45876,4.87731,5.11017,7.6794,38.5114
5.11017,3.07514,2.68352,3.46676,5.35414,5.60976,7.54483,41.583
5.60976,3.03981,2.64942,3.4302,5.87759,6.1582,7.41025,44.6581
6.1582,2.96881,2.58602,3.3516,6.45221,6.76025,7.27568,47.6979
6.76025,2.86857,2.4992,3.23794,7.08301,7.42117,7.14111,50.6667
7.42117,2.7452,2.39497,3.09543,7.77547,8.14669,7.00653,53.5353
8.14669,2.6041,2.27903,2.92917,8.53563,8.94315,6.87196,56.2805
8.94315,2.45507,2.16031,2.74983,9.37012,9.81748,6.73738,58.8846
9.81748,2.3163,2.05471,2.57789,10.2862,10.7773,6.6028,61.3397
10.7773,2.2118,1.98366,2.43994,11.2918,11.8309,6.46823,63.656
11.8309,2.15846,1.96151,2.35541,12.3958,12.9876,6.33365,65.8678
12.9876,2.15182,1.98357,2.32007,13.6076,14.2573,6.19907,68.0262
14.2573,2.16205,2.0219,2.3022,14.938,15.6512,6.0645,70.178
15.6512,2.14618,2.03672,2.25564,16.3984,17.1813,5.92992,72.3401
17.1813,2.07415,1.99924,2.14906,18.0016,18.861,5.79534,74.4863
18.861,1.94981,1.91283,1.98679,19.7615,20.705,5.66076,76.5604
20.705,1.80771,1.78626,1.82916,21.6935,22.7292,5.52618,78.5102
22.7292,1.68815,1.63205,1.74425,23.8143,24.9513,5.39161,80.3179
24.9513,1.61051,1.51162,1.7094,26.1425,27.3906,5.25703,82.0061
27.3906,1.56276,1.41782,1.7077,28.6983,30.0685,5.12245,83.6166
30.0685,1.51058,1.31583,1.70533,31.504,33.0081,4.98787,85.1794
33.0081,1.41826,1.17056,1.66596,34.584,36.2352,4.85328,86.6899
36.2352,1.27204,0.971978,1.5721,37.9652,39.7777,4.7187,88.1082
39.7777,1.09038,0.744276,1.43648,41.6768,43.6665,4.58412,89.3802
43.6665,0.912256,0.532037,1.29248,45.7513,47.9356,4.44954,90.4706
47.9356,0.773318,0.372135,1.1745,50.2242,52.622,4.31495,91.3829
52.622,0.687997,0.275416,1.10058,55.1343,57.7666,4.18036,92.1562
57.7666,0.645968,0.226489,1.06545,60.5245,63.4141,4.04578,92.8442
63.4141,0.621517,0.197038,1.046,66.4417,69.6138,3.91119,93.4902
69.6138,0.586161,0.158541,1.01378,72.9374,76.4196,3.7766,94.1117
76.4196,0.525994,0.100687,0.951301,80.0681,83.8907,3.64201,94.6978
83.8907,0.450841,0.0406169,0.861065,87.8959,92.0923,3.50742,95.2238
92.0923,0.384546,0.00702363,0.762068,96.4892,101.096,3.37282,95.6747
101.096,0.346745,0.0167567,0.676733,105.922,110.979,3.23822,96.0592
110.979,0.341888,0.0672768,0.616499,116.278,121.829,3.10363,96.406
121.829,0.358332,0.1365,0.580164,127.646,133.74,2.96902,96.7478
133.74,0.372925,0.186364,0.559486,140.125,146.815,2.83441,97.1062
146.815,0.36323,0.179312,0.547148,153.824,161.168,2.69981,97.4791
161.168,0.323056,0.109573,0.536539,168.863,176.925,2.56519,97.8423
176.925,0.267305,0.0175188,0.517091,185.372,194.222,2.43057,98.1654
194.222,0.216237,0,0.477286,203.495,213.21,2.29595,98.4327
213.21,0.181112,0,0.410345,223.389,234.054,2.16132,98.6489
234.054,0.161662,0.00202684,0.321297,245.228,256.936,2.02669,98.83
256.936,0.152152,0.0720271,0.232277,269.203,282.056,1.89204,98.9917
282.056,0.14415,0.100608,0.187692,295.522,309.631,1.75737,99.1439
309.631,0.1291,0.0913082,0.166892,324.414,339.902,1.6227,99.288
339.902,0.106979,0.0582512,0.155707,356.13,373.132,1.48801,99.4171
373.132,0.0877612,0,0.222733,390.946,409.611,1.35329,99.5241
