Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.021493,0.0211546,0.0218314,0.393033,0.411798,11.3129,0
0.411798,0.0383129,0.0377093,0.0389165,0.431458,0.452057,11.1783,0.021493
0.452057,0.0567947,0.055915,0.0576744,0.473639,0.496252,11.0437,0.0598059
0.496252,0.081686,0.0805971,0.0827749,0.519944,0.544768,10.9091,0.116601
0.544768,0.10332,0.102643,0.103997,0.570777,0.598027,10.7746,0.198287
0.598027,0.123623,0.123337,0.123909,0.626578,0.656493,10.64,0.301607
0.656493,0.143634,0.142835,0.144433,0.687836,0.720675,10.5054,0.425229
0.720675,0.164754,0.162323,0.167185,0.755082,0.791132,10.3709,0.568863
0.791132,0.1853,0.180533,0.190067,0.828903,0.868477,10.2363,0.733617
0.868477,0.205724,0.198066,0.213382,0.90994,0.953383,10.1017,0.918917
0.953383,0.227066,0.215529,0.238603,0.9989,1.04659,9.96714,1.12464
1.04659,0.250639,0.234528,0.26675,1.09656,1.14891,9.83257,1.35171
1.14891,0.277469,0.255955,0.298983,1.20376,1.26123,9.698,1.60235
1.26123,0.307851,0.280236,0.335466,1.32145,1.38454,9.56343,1.87981
1.38454,0.34264,0.308362,0.376918,1.45064,1.5199,9.42885,2.18767
1.5199,0.382525,0.341245,0.423805,1.59246,1.66849,9.29428,2.53031
1.66849,0.428726,0.380037,0.477415,1.74815,1.83161,9.15971,2.91283
1.83161,0.481261,0.425039,0.537483,1.91906,2.01068,9.02514,3.34156
2.01068,0.539826,0.476289,0.603363,2.10667,2.20725,8.89056,3.82282
2.20725,0.603532,0.532786,0.674278,2.31263,2.42304,8.75599,4.36264
2.42304,0.671561,0.593951,0.749171,2.53872,2.65993,8.62142,4.96618
2.65993,0.742881,0.658764,0.826998,2.78692,2.91998,8.48684,5.63774
2.91998,0.81605,0.725748,0.906352,3.05939,3.20545,8.35227,6.38062
3.20545,0.88941,0.793291,0.985529,3.35849,3.51883,8.2177,7.19667
3.51883,0.960962,0.859192,1.06273,3.68682,3.86284,8.08313,8.08608
