Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0146846,0.013678,0.0156911,0.393033,0.411798,11.3129,0
0.411798,0.0261964,0.0244071,0.0279857,0.431458,0.452057,11.1783,0.0146846
0.452057,0.0387471,0.0360826,0.0414116,0.473639,0.496252,11.0437,0.040881
0.496252,0.0554259,0.051614,0.0592378,0.519944,0.544768,10.9091,0.0796281
0.544768,0.0693363,0.0644952,0.0741775,0.570777,0.598027,10.7746,0.135054
0.598027,0.081716,0.0759219,0.0875101,0.626578,0.656493,10.64,0.20439
0.656493,0.0930916,0.0863797,0.0998035,0.687836,0.720675,10.5054,0.286106
0.720675,0.104253,0.0965943,0.111912,0.755082,0.791132,10.3709,0.379198
0.791132,0.113721,0.105133,0.122309,0.828903,0.868477,10.2363,0.483451
0.868477,0.121457,0.111998,0.130916,0.90994,0.953383,10.1017,0.597172
0.953383,0.12779,0.117461,0.138119,0.9989,1.04659,9.96714,0.718629
1.04659,0.13323,0.122019,0.144441,1.09656,1.14891,9.83257,0.846419
1.14891,0.138218,0.126104,0.150332,1.20376,1.26123,9.698,0.979649
1.26123,0.142735,0.129653,0.155817,1.32145,1.38454,9.56343,1.11787
1.38454,0.147296,0.133213,0.161379,1.45064,1.5199,9.42885,1.2606
1.5199,0.152341,0.137184,0.167498,1.59246,1.66849,9.29428,1.4079
1.66849,0.158724,0.142422,0.175026,1.74815,1.83161,9.15971,1.56024
1.83161,0.166634,0.149083,0.184185,1.91906,2.01068,9.02514,1.71896
2.01068,0.176231,0.157365,0.195097,2.10667,2.20725,8.89056,1.8856
2.20725,0.187528,0.167274,0.207782,2.31263,2.42304,8.75599,2.06183
2.42304,0.200669,0.178978,0.22236,2.53872,2.65993,8.62142,2.24936
2.65993,0.215753,0.192561,0.238945,2.78692,2.91998,8.48684,2.45003
2.91998,0.232601,0.207827,0.257375,3.05939,3.20545,8.35227,2.66578
3.20545,0.250888,0.224426,0.27735,3.35849,3.51883,8.2177,2.89838
