Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0135712,0.0127386,0.0144038,0.393033,0.411798,11.3129,0
0.411798,0.0242064,0.0227259,0.0256869,0.431458,0.452057,11.1783,0.0135712
0.452057,0.0358184,0.0336134,0.0380234,0.473639,0.496252,11.0437,0.0377776
0.496252,0.0512845,0.0481288,0.0544402,0.519944,0.544768,10.9091,0.073596
0.544768,0.0642763,0.0602614,0.0682912,0.570777,0.598027,10.7746,0.12488
0.598027,0.0759499,0.0711351,0.0807647,0.626578,0.656493,10.64,0.189157
0.656493,0.0868244,0.0811846,0.0924642,0.687836,0.720675,10.5054,0.265107
0.720675,0.097657,0.091171,0.104143,0.755082,0.791132,10.3709,0.351931
0.791132,0.107131,0.0997879,0.114474,0.828903,0.868477,10.2363,0.449588
0.868477,0.115264,0.107079,0.123449,0.90994,0.953383,10.1017,0.556719
0.953383,0.122432,0.113347,0.131517,0.9989,1.04659,9.96714,0.671983
1.04659,0.129174,0.119117,0.139231,1.09656,1.14891,9.83257,0.794415
1.14891,0.135944,0.124777,0.147111,1.20376,1.26123,9.698,0.923589
1.26123,0.142763,0.130386,0.15514,1.32145,1.38454,9.56343,1.05953
1.38454,0.150135,0.136399,0.163871,1.45064,1.5199,9.42885,1.2023
1.5199,0.158497,0.143219,0.173775,1.59246,1.66849,9.29428,1.35243
1.66849,0.168671,0.151668,0.185674,1.74815,1.83161,9.15971,1.51093
1.83161,0.180839,0.16188,0.199798,1.91906,2.01068,9.02514,1.6796
2.01068,0.195134,0.174026,0.216242,2.10667,2.20725,8.89056,1.86044
2.20725,0.21153,0.188095,0.234965,2.31263,2.42304,8.75599,2.05557
2.42304,0.230126,0.204183,0.256069,2.53872,2.65993,8.62142,2.2671
2.65993,0.250953,0.222307,0.279599,2.78692,2.91998,8.48684,2.49723
2.91998,0.273748,0.242267,0.305229,3.05939,3.20545,8.35227,2.74818
3.20545,0.298086,0.2637,0.332472,3.35849,3.51883,8.2177,3.02193
