Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
541.876,2.00679,1.7569,2.25668,567.746,594.852,0.813905,91.1342
594.852,1.5819,1.26385,1.89995,623.252,653.008,0.678786,93.141
653.008,1.18768,0.819917,1.55544,684.184,716.849,0.543393,94.7229
716.849,0.90933,0.511217,1.30744,751.073,786.932,0.407456,95.9106
786.932,0.762913,0.346116,1.17971,824.502,863.866,0.270152,96.8199
863.866,0.700568,0.27848,1.12266,905.109,948.322,0.127128,97.5829
948.322,0.650333,0.245612,1.05505,993.595,1041.03,0.0666397,98.2834
1041.03,0.543779,0.1933,0.894258,1090.73,1142.81,-0.125299,98.9338
1142.81,0.343614,0.107959,0.579269,1197.37,1254.54,-0.259872,99.4775
1254.54,0.146437,0.0360367,0.256837,1314.44,1377.19,-0.394443,99.8212
1377.19,0.0298775,0.00540529,0.0543497,1442.94,1511.83,-0.529012,99.9676
1511.83,0.00253555,0.000198817,0.00487228,1584.01,1659.63,-0.663579,99.9975
1659.63,0,0,0,1738.86,1821.88,-0.798145,100
1821.88,0,0,0,1908.86,2000,-0.932714,100
