Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.00893306,0.00861696,0.00924916,0.393033,0.411798,11.3129,0
0.411798,0.0159425,0.0153788,0.0165062,0.431458,0.452057,11.1783,0.00893306
0.452057,0.0236445,0.0228223,0.0244667,0.473639,0.496252,11.0437,0.0248756
0.496252,0.0339906,0.0328041,0.0351771,0.519944,0.544768,10.9091,0.0485201
0.544768,0.042871,0.0413526,0.0443894,0.570777,0.598027,10.7746,0.0825107
0.598027,0.0511132,0.0492405,0.0529859,0.626578,0.656493,10.64,0.125382
0.656493,0.0590805,0.0568703,0.0612907,0.687836,0.720675,10.5054,0.176495
0.720675,0.0673129,0.0647518,0.069874,0.755082,0.791132,10.3709,0.235575
0.791132,0.0749535,0.0720061,0.0779009,0.828903,0.868477,10.2363,0.302888
0.868477,0.0821191,0.0786519,0.0855863,0.90994,0.953383,10.1017,0.377842
0.953383,0.089076,0.0850518,0.0931002,0.9989,1.04659,9.96714,0.459961
1.04659,0.0961764,0.0914356,0.100917,1.09656,1.14891,9.83257,0.549037
1.14891,0.103642,0.0980383,0.109246,1.20376,1.26123,9.698,0.645213
1.26123,0.111461,0.10475,0.118171,1.32145,1.38454,9.56343,0.748855
1.38454,0.119902,0.111906,0.127898,1.45064,1.5199,9.42885,0.860316
1.5199,0.129137,0.119603,0.138671,1.59246,1.66849,9.29428,0.980218
1.66849,0.139597,0.128252,0.150942,1.74815,1.83161,9.15971,1.10936
1.83161,0.15126,0.137841,0.164679,1.91906,2.01068,9.02514,1.24895
2.01068,0.164104,0.148339,0.179869,2.10667,2.20725,8.89056,1.40021
2.20725,0.177952,0.159632,0.196272,2.31263,2.42304,8.75599,1.56432
2.42304,0.192697,0.171645,0.213749,2.53872,2.65993,8.62142,1.74227
2.65993,0.20817,0.184198,0.232142,2.78692,2.91998,8.48684,1.93497
2.91998,0.224062,0.196982,0.251142,3.05939,3.20545,8.35227,2.14314
3.20545,0.240085,0.20975,0.27042,3.35849,3.51883,8.2177,2.3672
