Kanaldurchmesser (Unten),Diff.,-2 S.D.,+2 S.D.,Kanaldurchmesser (Mitte),Kanaldurchmesser (Oben),Kanaldurchmesser (Mitte),Kum. <
um,Volumen,Diff.,Diff.,um,um,Phi,Volumen
,%,Volumen,Volumen,,,,%
,,%,%,,,,
0.375124,0.0378301,0.0294631,0.0461971,0.393033,0.411798,11.3129,0
0.411798,0.0673443,0.0524767,0.0822119,0.431458,0.452057,11.1783,0.0378301
0.452057,0.0999483,0.0778671,0.122029,0.473639,0.496252,11.0437,0.105174
0.496252,0.144349,0.112356,0.176342,0.519944,0.544768,10.9091,0.205123
0.544768,0.18403,0.142948,0.225112,0.570777,0.598027,10.7746,0.349472
0.598027,0.222091,0.172056,0.272126,0.626578,0.656493,10.64,0.533502
0.656493,0.260397,0.201089,0.319705,0.687836,0.720675,10.5054,0.755593
0.720675,0.301376,0.231943,0.370809,0.755082,0.791132,10.3709,1.01599
0.791132,0.342391,0.262362,0.42242,0.828903,0.868477,10.2363,1.31737
0.868477,0.383767,0.292592,0.474942,0.90994,0.953383,10.1017,1.65976
0.953383,0.426794,0.323524,0.530064,0.9989,1.04659,9.96714,2.04352
1.04659,0.472939,0.356344,0.589535,1.09656,1.14891,9.83257,2.47032
1.14891,0.523193,0.391669,0.654717,1.20376,1.26123,9.698,2.94326
1.26123,0.577027,0.429172,0.724882,1.32145,1.38454,9.56343,3.46645
1.38454,0.63472,0.469182,0.800258,1.45064,1.5199,9.42885,4.04348
1.5199,0.696274,0.511718,0.88083,1.59246,1.66849,9.29428,4.6782
1.66849,0.762468,0.55756,0.967376,1.74815,1.83161,9.15971,5.37447
1.83161,0.832376,0.606246,1.05851,1.91906,2.01068,9.02514,6.13694
2.01068,0.904672,0.656888,1.15246,2.10667,2.20725,8.89056,6.96931
2.20725,0.977666,0.708321,1.24701,2.31263,2.42304,8.75599,7.87399
2.42304,1.05016,0.759943,1.34038,2.53872,2.65993,8.62142,8.85165
2.65993,1.12116,0.81107,1.43125,2.78692,2.91998,8.48684,9.90181
2.91998,1.18929,0.861046,1.51753,3.05939,3.20545,8.35227,11.023
3.20545,1.25295,0.908788,1.59711,3.35849,3.51883,8.2177,12.2123
3.51883,1.31017,0.952893,1.66745,3.68682,3.86284,8.08313,13.4652
3.86284,1.3598,0.992979,1.72662,4.04726,4.24049,7.94855,14.7754
4.24049,1.40073,1.02829,1.77317,4.44294,4.65506,7.81398,16.1352
4.65506,1.4322,1.05876,1.80564,4.87731,5.11017,7.6794,17.5359
5.11017,1.45331,1.08393,1.82269,5.35414,5.60976,7.54483,18.9681
5.60976,1.46431,1.10426,1.82436,5.87759,6.1582,7.41025,20.4214
6.1582,1.46708,1.12096,1.8132,6.45221,6.76025,7.27568,21.8857
6.76025,1.46496,1.13649,1.79343,7.08301,7.42117,7.14111,23.3528
7.42117,1.46169,1.15364,1.76974,7.77547,8.14669,7.00653,24.8178
8.14669,1.46005,1.1748,1.7453,8.53563,8.94315,6.87196,26.2795
8.94315,1.46371,1.2026,1.72482,9.37012,9.81748,6.73738,27.7395
9.81748,1.47753,1.23998,1.71508,10.2862,10.7773,6.6028,29.2032
10.7773,1.509,1.29144,1.72656,11.2918,11.8309,6.46823,30.6807
11.8309,1.5626,1.35946,1.76574,12.3958,12.9876,6.33365,32.1898
12.9876,1.63572,1.44129,1.83015,13.6076,14.2573,6.19907,33.7523
14.2573,1.71546,1.52725,1.90367,14.938,15.6512,6.0645,35.3881
15.6512,1.78422,1.60429,1.96415,16.3984,17.1813,5.92992,37.1035
17.1813,1.8317,1.66542,1.99798,18.0016,18.861,5.79534,38.8877
18.861,1.86227,1.7136,2.01094,19.7615,20.705,5.66076,40.7194
20.705,1.89559,1.76509,2.02609,21.6935,22.7292,5.52618,42.5817
22.7292,1.95265,1.83488,2.07042,23.8143,24.9513,5.39161,44.4773
24.9513,2.04393,1.93356,2.1543,26.1425,27.3906,5.25703,46.43
27.3906,2.16157,2.05572,2.26742,28.6983,30.0685,5.12245,48.4739
30.0685,2.28275,2.18372,2.38178,31.504,33.0081,4.98787,50.6355
33.0081,2.38277,2.2965,2.46904,34.584,36.2352,4.85328,52.9182
36.2352,2.44741,2.38256,2.51226,37.9652,39.7777,4.7187,55.301
39.7777,2.48122,2.44402,2.51842,41.6768,43.6665,4.58412,57.7484
43.6665,2.50245,2.48967,2.51523,45.7513,47.9356,4.44954,60.2296
47.9356,2.53142,2.51207,2.55077,50.2242,52.622,4.31495,62.7321
52.622,2.5798,2.53633,2.62327,55.1343,57.7666,4.18036,65.2635
57.7666,2.64438,2.57073,2.71803,60.5245,63.4141,4.04578,67.8433
63.4141,2.71075,2.59624,2.82526,66.4417,69.6138,3.91119,70.4877
69.6138,2.76136,2.58829,2.93443,72.9374,76.4196,3.7766,73.1984
76.4196,2.78402,2.53646,3.03158,80.0681,83.8907,3.64201,75.9598
83.8907,2.77516,2.44439,3.10593,87.8959,92.0923,3.50742,78.7438
92.0923,2.73669,2.32685,3.14653,96.4892,101.096,3.37282,81.5189
101.096,2.66857,2.18752,3.14962,105.922,110.979,3.23822,84.2556
110.979,2.56465,2.0102,3.1191,116.278,121.829,3.10363,86.9242
121.829,2.41196,1.75691,3.06701,127.646,133.74,2.96902,89.4888
133.74,2.19323,1.38772,2.99874,140.125,146.815,2.83441,91.9008
146.815,1.8984,0.90872,2.88808,153.824,161.168,2.69981,94.094
161.168,1.53326,0.390684,2.67584,168.863,176.925,2.56519,95.9924
176.925,1.12548,0,2.30599,185.372,194.222,2.43057,97.5257
194.222,0.726733,0,1.77231,203.495,213.21,2.29595,98.6512
213.21,0.395307,0,1.15335,223.389,234.054,2.16132,99.3779
234.054,0.167838,0,0.575231,245.228,256.936,2.02669,99.7732
256.936,0.0502805,0,0.197903,269.203,282.056,1.89204,99.9411
282.056,0.00811693,0,0.0347547,295.522,309.631,1.75737,99.9913
309.631,0.000546353,0,0.00243897,324.414,339.902,1.6227,99.9995
339.902,0,0,0,356.13,373.132,1.48801,100
373.132,0,0,0,390.946,409.611,1.35329,100
409.611,0,0,0,429.167,449.657,1.21853,100
449.657,0,0,0,471.125,493.617,1.08373,100
