Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
493.617,2.82511,2.7489,2.90132,517.184,541.876,0.948868,85.9704
541.876,2.34204,2.30345,2.38063,567.746,594.852,0.813905,88.7955
594.852,1.92734,1.88781,1.96687,623.252,653.008,0.678786,91.1376
653.008,1.59301,1.52247,1.66355,684.184,716.849,0.543393,93.0649
716.849,1.33876,1.24138,1.43614,751.073,786.932,0.407456,94.6579
786.932,1.14585,1.00664,1.28506,824.502,863.866,0.270152,95.9967
863.866,0.975615,0.777849,1.17338,905.109,948.322,0.127128,97.1425
948.322,0.776909,0.53719,1.01663,993.595,1041.03,0.0666397,98.1182
1041.03,0.547284,0.311378,0.78319,1090.73,1142.81,-0.125299,98.8951
1142.81,0.340391,0.153683,0.527099,1197.37,1254.54,-0.259872,99.4424
1254.54,0.165902,0.0387388,0.293065,1314.44,1377.19,-0.394443,99.7827
1377.19,0.0457117,0,0.108198,1442.94,1511.83,-0.529012,99.9486
1511.83,0.00543519,0,0.0196429,1584.01,1659.63,-0.663579,99.9944
1659.63,0.000208198,0,0.000929416,1738.86,1821.88,-0.798145,99.9998
1821.88,0,0,0,1908.86,2000,-0.932714,100
