Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.00864243,0.00802753,0.00925733,0.393033,0.411798,11.3129,0
0.411798,0.0154585,0.0143665,0.0165505,0.431458,0.452057,11.1783,0.00864243
0.452057,0.0230081,0.0213883,0.0246279,0.473639,0.496252,11.0437,0.0241009
0.496252,0.033121,0.0307838,0.0354582,0.519944,0.544768,10.9091,0.047109
0.544768,0.041742,0.0387635,0.0447205,0.570777,0.598027,10.7746,0.0802301
0.598027,0.0497918,0.0461948,0.0533888,0.626578,0.656493,10.64,0.121972
0.656493,0.0576129,0.0534327,0.0617931,0.687836,0.720675,10.5054,0.171764
0.720675,0.0656508,0.060799,0.0705026,0.755082,0.791132,10.3709,0.229377
0.791132,0.0728783,0.0674109,0.0783457,0.828903,0.868477,10.2363,0.295028
0.868477,0.0794729,0.0733858,0.08556,0.90994,0.953383,10.1017,0.367906
0.953383,0.0856287,0.0788917,0.0923657,0.9989,1.04659,9.96714,0.447379
1.04659,0.0915104,0.0840841,0.0989367,1.09656,1.14891,9.83257,0.533008
1.14891,0.0970567,0.0888945,0.105219,1.20376,1.26123,9.698,0.624518
1.26123,0.102202,0.0932517,0.111152,1.32145,1.38454,9.56343,0.721575
1.38454,0.107181,0.0973639,0.116998,1.45064,1.5199,9.42885,0.823777
1.5199,0.112147,0.101407,0.122887,1.59246,1.66849,9.29428,0.930958
1.66849,0.117416,0.105642,0.12919,1.74815,1.83161,9.15971,1.0431
1.83161,0.122983,0.110053,0.135913,1.91906,2.01068,9.02514,1.16052
2.01068,0.128962,0.11477,0.143154,2.10667,2.20725,8.89056,1.2835
2.20725,0.135515,0.119934,0.151096,2.31263,2.42304,8.75599,1.41247
2.42304,0.142829,0.125762,0.159896,2.53872,2.65993,8.62142,1.54798
2.65993,0.150996,0.132297,0.169695,2.78692,2.91998,8.48684,1.69081
2.91998,0.159958,0.139536,0.18038,3.05939,3.20545,8.35227,1.84181
3.20545,0.169822,0.147564,0.19208,3.35849,3.51883,8.2177,2.00176
