Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0,0,0,0.393033,0.411798,11.3129,0
0.411798,0,0,0,0.431458,0.452057,11.1783,0
0.452057,0,0,0,0.473639,0.496252,11.0437,0
0.496252,0,0,0,0.519944,0.544768,10.9091,0
0.544768,0,0,0,0.570777,0.598027,10.7746,0
0.598027,0,0,0,0.626578,0.656493,10.64,0
0.656493,0,0,0,0.687836,0.720675,10.5054,0
0.720675,0.000189945,0.000172549,0.000207341,0.755082,0.791132,10.3709,0
0.791132,0.00252775,0.00229671,0.00275879,0.828903,0.868477,10.2363,0.000189945
0.868477,0.00758184,0.00688841,0.00827527,0.90994,0.953383,10.1017,0.00271769
0.953383,0.0120339,0.0109364,0.0131314,0.9989,1.04659,9.96714,0.0102995
1.04659,0.015244,0.0138581,0.0166299,1.09656,1.14891,9.83257,0.0223334
1.14891,0.0172153,0.0156521,0.0187785,1.20376,1.26123,9.698,0.0375774
1.26123,0.0179844,0.0163494,0.0196194,1.32145,1.38454,9.56343,0.0547927
1.38454,0.0177204,0.0160954,0.0193454,1.45064,1.5199,9.42885,0.0727771
1.5199,0.0166684,0.0151156,0.0182212,1.59246,1.66849,9.29428,0.0904975
1.66849,0.0151364,0.0136788,0.016594,1.74815,1.83161,9.15971,0.107166
1.83161,0.0134303,0.0120681,0.0147925,1.91906,2.01068,9.02514,0.122302
2.01068,0.0118308,0.0105324,0.0131292,2.10667,2.20725,8.89056,0.135733
2.20725,0.0105505,0.00926854,0.0118325,2.31263,2.42304,8.75599,0.147563
2.42304,0.009731,0.00840669,0.0110553,2.53872,2.65993,8.62142,0.158114
2.65993,0.00943904,0.00800868,0.0108694,2.78692,2.91998,8.48684,0.167845
2.91998,0.00967693,0.00808076,0.0112731,3.05939,3.20545,8.35227,0.177284
3.20545,0.0103963,0.00858197,0.0122106,3.35849,3.51883,8.2177,0.186961
3.51883,0.0115011,0.00943272,0.0135695,3.68682,3.86284,8.08313,0.197357
