Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.00518463,0.00494408,0.00542518,0.393033,0.411798,11.3129,0
0.411798,0.00928421,0.00885556,0.00971286,0.431458,0.452057,11.1783,0.00518463
0.452057,0.0138354,0.0131966,0.0144743,0.473639,0.496252,11.0437,0.0144688
0.496252,0.0199359,0.0190133,0.0208585,0.519944,0.544768,10.9091,0.0283042
0.544768,0.0251255,0.0239232,0.0263278,0.570777,0.598027,10.7746,0.0482401
0.598027,0.0300019,0.0285336,0.0314702,0.626578,0.656493,10.64,0.0733656
0.656493,0.0347569,0.0330233,0.0364905,0.687836,0.720675,10.5054,0.103368
0.720675,0.039669,0.0376141,0.0417239,0.755082,0.791132,10.3709,0.138124
0.791132,0.0440541,0.0416438,0.0464644,0.828903,0.868477,10.2363,0.177793
0.868477,0.0480712,0.0453361,0.0508063,0.90994,0.953383,10.1017,0.221848
0.953383,0.0518065,0.0486897,0.0549233,0.9989,1.04659,9.96714,0.269919
1.04659,0.0553599,0.0518127,0.0589071,1.09656,1.14891,9.83257,0.321725
1.14891,0.0585996,0.0545653,0.0626339,1.20376,1.26123,9.698,0.377085
1.26123,0.0615007,0.0569612,0.0660401,1.32145,1.38454,9.56343,0.435685
1.38454,0.0641662,0.059078,0.0692545,1.45064,1.5199,9.42885,0.497185
1.5199,0.0666861,0.0609883,0.072384,1.59246,1.66849,9.29428,0.561352
1.66849,0.069181,0.0628299,0.0755321,1.74815,1.83161,9.15971,0.628038
1.83161,0.0716146,0.0645692,0.07866,1.91906,2.01068,9.02514,0.697219
2.01068,0.0740314,0.0662358,0.081827,2.10667,2.20725,8.89056,0.768833
2.20725,0.0765243,0.0679592,0.0850894,2.31263,2.42304,8.75599,0.842865
2.42304,0.0792098,0.0698304,0.0885892,2.53872,2.65993,8.62142,0.919389
2.65993,0.0820987,0.0718981,0.0922993,2.78692,2.91998,8.48684,0.998599
2.91998,0.0851655,0.0741178,0.0962132,3.05939,3.20545,8.35227,1.0807
