Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0,0,0,0.393033,0.411798,11.3129,0
0.411798,0,0,0,0.431458,0.452057,11.1783,0
0.452057,0,0,0,0.473639,0.496252,11.0437,0
0.496252,0,0,0,0.519944,0.544768,10.9091,0
0.544768,0,0,0,0.570777,0.598027,10.7746,0
0.598027,0,0,0,0.626578,0.656493,10.64,0
0.656493,0,0,0,0.687836,0.720675,10.5054,0
0.720675,0.000337414,0.00033467,0.000340158,0.755082,0.791132,10.3709,0
0.791132,0.00450209,0.00447806,0.00452612,0.828903,0.868477,10.2363,0.000337414
0.868477,0.0135776,0.0134676,0.0136876,0.90994,0.953383,10.1017,0.0048395
0.953383,0.0217611,0.0216354,0.0218868,0.9989,1.04659,9.96714,0.0184171
1.04659,0.0279359,0.0277326,0.0281392,1.09656,1.14891,9.83257,0.0401782
1.14891,0.03205,0.0318094,0.0322906,1.20376,1.26123,9.698,0.0681141
1.26123,0.0340637,0.0337482,0.0343792,1.32145,1.38454,9.56343,0.100164
1.38454,0.034139,0.0338358,0.0344422,1.45064,1.5199,9.42885,0.134228
1.5199,0.0325669,0.032303,0.0328308,1.59246,1.66849,9.29428,0.168367
1.66849,0.0297688,0.0295424,0.0299952,1.74815,1.83161,9.15971,0.200934
1.83161,0.026208,0.0259975,0.0264185,1.91906,2.01068,9.02514,0.230702
2.01068,0.0223613,0.0221068,0.0226158,2.10667,2.20725,8.89056,0.25691
2.20725,0.0186472,0.018302,0.0189924,2.31263,2.42304,8.75599,0.279272
2.42304,0.0154053,0.0149899,0.0158207,2.53872,2.65993,8.62142,0.297919
2.65993,0.0128636,0.0123499,0.0133773,2.78692,2.91998,8.48684,0.313324
2.91998,0.0111379,0.0105226,0.0117532,3.05939,3.20545,8.35227,0.326188
3.20545,0.0102379,0.00952335,0.0109524,3.35849,3.51883,8.2177,0.337326
3.51883,0.0100871,0.00928058,0.0108936,3.68682,3.86284,8.08313,0.347564
3.86284,0.0105532,0.0096691,0.0114373,4.04726,4.24049,7.94855,0.357651
