Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0135962,0.0119198,0.0152726,0.393033,0.411798,11.3129,0
0.411798,0.0242739,0.0212878,0.02726,0.431458,0.452057,11.1783,0.0135962
0.452057,0.0360128,0.0315646,0.040461,0.473639,0.496252,11.0437,0.0378701
0.496252,0.0517597,0.0453392,0.0581802,0.519944,0.544768,10.9091,0.0738829
0.544768,0.0651951,0.0570175,0.0733727,0.570777,0.598027,10.7746,0.125643
0.598027,0.0775838,0.0677223,0.0874453,0.626578,0.656493,10.64,0.190838
0.656493,0.0894366,0.0778913,0.100982,0.687836,0.720675,10.5054,0.268421
0.720675,0.101534,0.0881967,0.114871,0.755082,0.791132,10.3709,0.357858
0.791132,0.112463,0.0973485,0.127577,0.828903,0.868477,10.2363,0.459392
0.868477,0.122324,0.105462,0.139186,0.90994,0.953383,10.1017,0.571855
0.953383,0.131406,0.112746,0.150066,0.9989,1.04659,9.96714,0.694179
1.04659,0.140103,0.119578,0.160628,1.09656,1.14891,9.83257,0.825585
1.14891,0.148648,0.12614,0.171156,1.20376,1.26123,9.698,0.965688
1.26123,0.156946,0.132347,0.181545,1.32145,1.38454,9.56343,1.11434
1.38454,0.165402,0.1386,0.192204,1.45064,1.5199,9.42885,1.27128
1.5199,0.1743,0.145148,0.203452,1.59246,1.66849,9.29428,1.43668
1.66849,0.184407,0.152704,0.21611,1.74815,1.83161,9.15971,1.61098
1.83161,0.195869,0.161344,0.230394,1.91906,2.01068,9.02514,1.79539
2.01068,0.208973,0.171389,0.246557,2.10667,2.20725,8.89056,1.99126
2.20725,0.223868,0.182969,0.264767,2.31263,2.42304,8.75599,2.20023
2.42304,0.240901,0.196378,0.285424,2.53872,2.65993,8.62142,2.4241
2.65993,0.260364,0.211881,0.308847,2.78692,2.91998,8.48684,2.665
2.91998,0.282336,0.22954,0.335132,3.05939,3.20545,8.35227,2.92537
3.20545,0.306914,0.249451,0.364377,3.35849,3.51883,8.2177,3.2077
