Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.00380174,0.00325188,0.0043516,0.393033,0.411798,11.3129,0
0.411798,0.00680738,0.00583035,0.00778441,0.431458,0.452057,11.1783,0.00380174
0.452057,0.0101371,0.00868687,0.0115873,0.473639,0.496252,11.0437,0.0106091
0.496252,0.0145877,0.0124949,0.0166805,0.519944,0.544768,10.9091,0.0207462
0.544768,0.0183535,0.0156849,0.0210221,0.570777,0.598027,10.7746,0.0353339
0.598027,0.0218667,0.0186518,0.0250816,0.626578,0.656493,10.64,0.0536874
0.656493,0.0252707,0.021509,0.0290324,0.687836,0.720675,10.5054,0.0755541
0.720675,0.0287638,0.0244197,0.0331079,0.755082,0.791132,10.3709,0.100825
0.791132,0.031858,0.0269265,0.0367895,0.828903,0.868477,10.2363,0.129589
0.868477,0.0346663,0.0291516,0.040181,0.90994,0.953383,10.1017,0.161447
0.953383,0.0372715,0.0311391,0.0434039,0.9989,1.04659,9.96714,0.196113
1.04659,0.0397596,0.0329807,0.0465385,1.09656,1.14891,9.83257,0.233384
1.14891,0.0420734,0.0345523,0.0495945,1.20376,1.26123,9.698,0.273144
1.26123,0.0442124,0.035895,0.0525298,1.32145,1.38454,9.56343,0.315217
1.38454,0.0462876,0.0370902,0.055485,1.45064,1.5199,9.42885,0.35943
1.5199,0.0483862,0.0382129,0.0585595,1.59246,1.66849,9.29428,0.405717
1.66849,0.0506346,0.0393508,0.0619184,1.74815,1.83161,9.15971,0.454104
1.83161,0.0530271,0.0404938,0.0655604,1.91906,2.01068,9.02514,0.504738
2.01068,0.0556181,0.0417023,0.0695339,2.10667,2.20725,8.89056,0.557765
2.20725,0.0584829,0.0430611,0.0739047,2.31263,2.42304,8.75599,0.613383
2.42304,0.061705,0.0446358,0.0787742,2.53872,2.65993,8.62142,0.671866
2.65993,0.0652884,0.0464417,0.0841352,2.78692,2.91998,8.48684,0.733571
2.91998,0.0692012,0.0484732,0.0899292,3.05939,3.20545,8.35227,0.79886
