Channel Diameter (Lower),Diff.,-2 S.D.,+2 S.D.,Channel Diameter (Center),Channel Diameter (Upper),Channel Diameter (Center),Cum. <
um,Volume,Diff.,Diff.,um,um,Phi,Volume
,%,Volume,Volume,,,,%
,,%,%,,,,
0.375124,0.0157785,0.0149467,0.0166103,0.393033,0.411798,11.3129,0
0.411798,0.0281395,0.0266728,0.0296062,0.431458,0.452057,11.1783,0.0157785
0.452057,0.0417339,0.0395799,0.0438879,0.473639,0.496252,11.0437,0.043918
0.496252,0.060046,0.0569051,0.0631869,0.519944,0.544768,10.9091,0.0856519
0.544768,0.0758324,0.0718143,0.0798505,0.570777,0.598027,10.7746,0.145698
0.598027,0.0904767,0.0856558,0.0952976,0.626578,0.656493,10.64,0.22153
0.656493,0.104594,0.0989204,0.110268,0.687836,0.720675,10.5054,0.312007
0.720675,0.119128,0.112546,0.12571,0.755082,0.791132,10.3709,0.416601
0.791132,0.132557,0.125039,0.140075,0.828903,0.868477,10.2363,0.535729
0.868477,0.144921,0.136447,0.153395,0.90994,0.953383,10.1017,0.668286
0.953383,0.156536,0.147077,0.165995,0.9989,1.04659,9.96714,0.813207
1.04659,0.167873,0.15724,0.178506,1.09656,1.14891,9.83257,0.969743
1.14891,0.179238,0.167267,0.191209,1.20376,1.26123,9.698,1.13762
1.26123,0.190457,0.176983,0.203931,1.32145,1.38454,9.56343,1.31685
1.38454,0.201892,0.186696,0.217088,1.45064,1.5199,9.42885,1.50731
1.5199,0.213811,0.196665,0.230957,1.59246,1.66849,9.29428,1.7092
1.66849,0.22705,0.207562,0.246538,1.74815,1.83161,9.15971,1.92301
1.83161,0.241751,0.219598,0.263904,1.91906,2.01068,9.02514,2.15006
2.01068,0.258151,0.233004,0.283298,2.10667,2.20725,8.89056,2.39182
2.20725,0.276316,0.247822,0.30481,2.31263,2.42304,8.75599,2.64997
2.42304,0.296556,0.26435,0.328762,2.53872,2.65993,8.62142,2.92628
2.65993,0.319182,0.282844,0.35552,2.78692,2.91998,8.48684,3.22284
2.91998,0.344216,0.303383,0.385049,3.05939,3.20545,8.35227,3.54202
3.20545,0.371602,0.325953,0.417251,3.35849,3.51883,8.2177,3.88624
